value,cash,date,strategy_name,position
10000000.0,10000000.0,2021-02-24,vwap_strategy,{}
9998074.4855,370501.9855,2021-02-25,vwap_strategy,"{""h000016"": 2500}"
9762651.2355,370501.9855,2021-02-26,vwap_strategy,"{""h000016"": 2500}"
9840175.7355,370501.9855,2021-03-01,vwap_strategy,"{""h000016"": 2500}"
9667436.7355,370501.9855,2021-03-02,vwap_strategy,"{""h000016"": 2500}"
9914033.9855,370501.9855,2021-03-03,vwap_strategy,"{""h000016"": 2500}"
9642153.4855,370501.9855,2021-03-04,vwap_strategy,"{""h000016"": 2500}"
9592206.4855,370501.9855,2021-03-05,vwap_strategy,"{""h000016"": 2500}"
9304079.4855,370501.9855,2021-03-08,vwap_strategy,"{""h000016"": 2500}"
9144536.2355,370501.9855,2021-03-09,vwap_strategy,"{""h000016"": 2500}"
9200632.7355,370501.9855,2021-03-10,vwap_strategy,"{""h000016"": 2500}"
9433764.9855,370501.9855,2021-03-11,vwap_strategy,"{""h000016"": 2500}"
9451947.9855,370501.9855,2021-03-12,vwap_strategy,"{""h000016"": 2500}"
9287695.2355,370501.9855,2021-03-15,vwap_strategy,"{""h000016"": 2500}"
9368413.4855,370501.9855,2021-03-16,vwap_strategy,"{""h000016"": 2500}"
9347586.7355,370501.9855,2021-03-17,vwap_strategy,"{""h000016"": 2500}"
9384513.7355,370501.9855,2021-03-18,vwap_strategy,"{""h000016"": 2500}"
9150552.7355,370501.9855,2021-03-19,vwap_strategy,"{""h000016"": 2500}"
9216569.7355,370501.9855,2021-03-22,vwap_strategy,"{""h000016"": 2500}"
9161408.4855,370501.9855,2021-03-23,vwap_strategy,"{""h000016"": 2500}"
9161408.4855,370501.9855000004,2021-03-23,bulin_strategy,"{""h000016"": 2500}"
9035607.4855,370501.9855000004,2021-03-24,bulin_strategy,"{""h000016"": 2500}"
9030183.7355,370501.9855000004,2021-03-25,bulin_strategy,"{""h000016"": 2500}"
9194822.4855,370501.9855000004,2021-03-26,bulin_strategy,"{""h000016"": 2500}"
9214779.4855,370501.9855000004,2021-03-29,bulin_strategy,"{""h000016"": 2500}"
9313610.4855,370501.9855000004,2021-03-30,bulin_strategy,"{""h000016"": 2500}"
9218925.9855,370501.9855000004,2021-03-31,bulin_strategy,"{""h000016"": 2500}"
9327126.7355,370501.9855000004,2021-04-01,bulin_strategy,"{""h000016"": 2500}"
9412410.9855,370501.9855000004,2021-04-02,bulin_strategy,"{""h000016"": 2500}"
9357275.2355,370501.9855000004,2021-04-06,bulin_strategy,"{""h000016"": 2500}"
9266673.9855,370501.9855000004,2021-04-07,bulin_strategy,"{""h000016"": 2500}"
9303094.4855,370501.9855000004,2021-04-08,bulin_strategy,"{""h000016"": 2500}"
9155778.4855,370501.9855000004,2021-04-09,bulin_strategy,"{""h000016"": 2500}"
9063165.4855,370501.9855000004,2021-04-12,bulin_strategy,"{""h000016"": 2500}"
9024149.9855,370501.9855000004,2021-04-13,bulin_strategy,"{""h000016"": 2500}"
9043433.7355,370501.9855000004,2021-04-14,bulin_strategy,"{""h000016"": 2500}"
8949234.7355,370501.9855000004,2021-04-15,bulin_strategy,"{""h000016"": 2500}"
