,value,cash,date,position,strategy_name
2021-02-24,10000000.0,10000000.0,2021-02-24,{},twoma_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},twoma_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},twoma_strategy
2021-03-01,9998030.30786,149569.60786000075,2021-03-01,"{""h000016"": 2600}",twoma_strategy
2021-03-02,9818381.747860001,149569.60786000075,2021-03-02,"{""h000016"": 2600}",twoma_strategy
2021-03-03,10074842.88786,149569.60786000075,2021-03-03,"{""h000016"": 2600}",twoma_strategy
2021-03-04,9792087.167860001,149569.60786000075,2021-03-04,"{""h000016"": 2600}",twoma_strategy
2021-03-05,9740142.28786,149569.60786000075,2021-03-05,"{""h000016"": 2600}",twoma_strategy
2021-03-08,9440490.20786,149569.60786000075,2021-03-08,"{""h000016"": 2600}",twoma_strategy
2021-03-09,9274565.22786,149569.60786000075,2021-03-09,"{""h000016"": 2600}",twoma_strategy
2021-03-10,9332905.587860001,149569.60786000075,2021-03-10,"{""h000016"": 2600}",twoma_strategy
2021-03-11,9575363.12786,149569.60786000075,2021-03-11,"{""h000016"": 2600}",twoma_strategy
2021-03-12,9594273.44786,149569.60786000075,2021-03-12,"{""h000016"": 2600}",twoma_strategy
2021-03-15,9423450.587860001,149569.60786000075,2021-03-15,"{""h000016"": 2600}",twoma_strategy
2021-03-16,9507397.567860002,149569.60786000075,2021-03-16,"{""h000016"": 2600}",twoma_strategy
2021-03-17,9485737.747860001,149569.60786000075,2021-03-17,"{""h000016"": 2600}",twoma_strategy
2021-03-18,9524141.82786,149569.60786000075,2021-03-18,"{""h000016"": 2600}",twoma_strategy
2021-03-19,9273517.385636002,9273517.385636002,2021-03-19,{},twoma_strategy
2021-03-22,9271677.403544001,71766.94354400279,2021-03-22,"{""h000016"": 2600}",twoma_strategy
2021-03-23,9214309.703544002,71766.94354400279,2021-03-23,"{""h000016"": 2600}",twoma_strategy
2021-03-24,9083476.663544001,71766.94354400279,2021-03-24,"{""h000016"": 2600}",twoma_strategy
2021-03-25,9077835.963544002,71766.94354400279,2021-03-25,"{""h000016"": 2600}",twoma_strategy
2021-03-26,9249060.263544003,71766.94354400279,2021-03-26,"{""h000016"": 2600}",twoma_strategy
2021-03-29,9269815.543544002,71766.94354400279,2021-03-29,"{""h000016"": 2600}",twoma_strategy
2021-03-30,9372599.783544002,71766.94354400279,2021-03-30,"{""h000016"": 2600}",twoma_strategy
2021-03-31,9274127.903544003,71766.94354400279,2021-03-31,"{""h000016"": 2600}",twoma_strategy
2021-04-01,9386656.683544002,71766.94354400279,2021-04-01,"{""h000016"": 2600}",twoma_strategy
2021-04-02,9467829.435256004,9467829.435256004,2021-04-02,{},twoma_strategy
2021-04-06,9467829.435256004,9467829.435256004,2021-04-06,{},twoma_strategy
2021-04-07,9467829.435256004,9467829.435256004,2021-04-07,{},twoma_strategy
2021-04-08,9467829.435256004,9467829.435256004,2021-04-08,{},twoma_strategy
2021-04-09,9467829.435256004,9467829.435256004,2021-04-09,{},twoma_strategy
2021-04-12,9467829.435256004,9467829.435256004,2021-04-12,{},twoma_strategy
2021-04-13,9467829.435256004,9467829.435256004,2021-04-13,{},twoma_strategy
2021-04-14,9465956.081998004,99189.79199800336,2021-04-14,"{""h000016"": 2700}",twoma_strategy
2021-04-15,9364221.161998004,99189.79199800336,2021-04-15,"{""h000016"": 2700}",twoma_strategy
2021-04-16,9409071.131998003,99189.79199800336,2021-04-16,"{""h000016"": 2700}",twoma_strategy
2021-04-19,9585357.101998003,99189.79199800336,2021-04-19,"{""h000016"": 2700}",twoma_strategy
2021-04-20,9576524.321998002,99189.79199800336,2021-04-20,"{""h000016"": 2700}",twoma_strategy
2021-04-21,9592653.311998002,99189.79199800336,2021-04-21,"{""h000016"": 2700}",twoma_strategy
2021-04-22,9515242.961998003,99189.79199800336,2021-04-22,"{""h000016"": 2700}",twoma_strategy
2021-04-23,9614048.111998003,99189.79199800336,2021-04-23,"{""h000016"": 2700}",twoma_strategy
2021-04-26,9454382.995318003,9454382.995318003,2021-04-26,{},twoma_strategy
2021-04-27,9454382.995318003,9454382.995318003,2021-04-27,{},twoma_strategy
2021-04-28,9454382.995318003,9454382.995318003,2021-04-28,{},twoma_strategy
2021-04-29,9454382.995318003,9454382.995318003,2021-04-29,{},twoma_strategy
2021-04-30,9454382.995318003,9454382.995318003,2021-04-30,{},twoma_strategy
2021-05-06,9452520.028528003,137686.07852800188,2021-05-06,"{""h000016"": 2700}",twoma_strategy
2021-05-07,9334723.888528002,137686.07852800188,2021-05-07,"{""h000016"": 2700}",twoma_strategy
2021-05-10,9317645.308528002,137686.07852800188,2021-05-10,"{""h000016"": 2700}",twoma_strategy
2021-05-11,9419512.528528001,137686.07852800188,2021-05-11,"{""h000016"": 2700}",twoma_strategy
2021-05-12,9446912.668528002,137686.07852800188,2021-05-12,"{""h000016"": 2700}",twoma_strategy
2021-05-13,9355185.298528003,137686.07852800188,2021-05-13,"{""h000016"": 2700}",twoma_strategy
2021-05-14,9595885.978528002,137686.07852800188,2021-05-14,"{""h000016"": 2700}",twoma_strategy
2021-05-17,9695449.828528002,137686.07852800188,2021-05-17,"{""h000016"": 2700}",twoma_strategy
2021-05-18,9689466.088528002,137686.07852800188,2021-05-18,"{""h000016"": 2700}",twoma_strategy
2021-05-19,9611063.288944002,9611063.288944002,2021-05-19,{},twoma_strategy
2021-05-20,9611063.288944002,9611063.288944002,2021-05-20,{},twoma_strategy
2021-05-21,9611063.288944002,9611063.288944002,2021-05-21,{},twoma_strategy
2021-05-24,9611063.288944002,9611063.288944002,2021-05-24,{},twoma_strategy
2021-05-25,9611063.288944002,9611063.288944002,2021-05-25,{},twoma_strategy
2021-05-26,9611063.288944002,9611063.288944002,2021-05-26,{},twoma_strategy
2021-05-27,9611063.288944002,9611063.288944002,2021-05-27,{},twoma_strategy
2021-05-28,9611063.288944002,9611063.288944002,2021-05-28,{},twoma_strategy
2021-05-31,9611063.288944002,9611063.288944002,2021-05-31,{},twoma_strategy
2021-06-01,9611063.288944002,9611063.288944002,2021-06-01,{},twoma_strategy
2021-06-02,9611063.288944002,9611063.288944002,2021-06-02,{},twoma_strategy
2021-06-03,9611063.288944002,9611063.288944002,2021-06-03,{},twoma_strategy
2021-06-04,9611063.288944002,9611063.288944002,2021-06-04,{},twoma_strategy
2021-06-07,9611063.288944002,9611063.288944002,2021-06-07,{},twoma_strategy
2021-06-08,9609201.541472003,300464.18147200096,2021-06-08,"{""h000016"": 2600}",twoma_strategy
2021-06-09,9628047.641472,300464.18147200096,2021-06-09,"{""h000016"": 2600}",twoma_strategy
2021-06-10,9680430.101472002,300464.18147200096,2021-06-10,"{""h000016"": 2600}",twoma_strategy
2021-06-11,9600085.161472002,300464.18147200096,2021-06-11,"{""h000016"": 2600}",twoma_strategy
2021-06-15,9475001.761472002,300464.18147200096,2021-06-15,"{""h000016"": 2600}",twoma_strategy
2021-06-16,9364811.941472001,300464.18147200096,2021-06-16,"{""h000016"": 2600}",twoma_strategy
2021-06-17,9352625.221472,300464.18147200096,2021-06-17,"{""h000016"": 2600}",twoma_strategy
2021-06-18,9282394.281472001,300464.18147200096,2021-06-18,"{""h000016"": 2600}",twoma_strategy
2021-06-21,9221719.901472002,300464.18147200096,2021-06-21,"{""h000016"": 2600}",twoma_strategy
2021-06-22,9308699.001472002,300464.18147200096,2021-06-22,"{""h000016"": 2600}",twoma_strategy
2021-06-23,9325951.041472001,300464.18147200096,2021-06-23,"{""h000016"": 2600}",twoma_strategy
2021-06-24,9358628.361472001,300464.18147200096,2021-06-24,"{""h000016"": 2600}",twoma_strategy
2021-06-25,9491512.281472001,300464.18147200096,2021-06-25,"{""h000016"": 2600}",twoma_strategy
2021-06-28,9454397.021472001,300464.18147200096,2021-06-28,"{""h000016"": 2600}",twoma_strategy
2021-06-29,9355570.761472002,300464.18147200096,2021-06-29,"{""h000016"": 2600}",twoma_strategy
2021-06-30,9389673.092592001,9389673.092592001,2021-06-30,{},twoma_strategy
2021-07-01,9389673.092592001,9389673.092592001,2021-07-01,{},twoma_strategy
2021-07-02,9389673.092592001,9389673.092592001,2021-07-02,{},twoma_strategy
2021-07-05,9389673.092592001,9389673.092592001,2021-07-05,{},twoma_strategy
2021-07-06,9387834.24204,193581.4820400012,2021-07-06,"{""h000016"": 2700}",twoma_strategy
2021-07-07,9439433.672040002,193581.4820400012,2021-07-07,"{""h000016"": 2700}",twoma_strategy
2021-07-08,9301371.332040003,193581.4820400012,2021-07-08,"{""h000016"": 2700}",twoma_strategy
2021-07-09,9269886.902040001,193581.4820400012,2021-07-09,"{""h000016"": 2700}",twoma_strategy
2021-07-12,9331751.462040002,193581.4820400012,2021-07-12,"{""h000016"": 2700}",twoma_strategy
2021-07-13,9351284.882040001,193581.4820400012,2021-07-13,"{""h000016"": 2700}",twoma_strategy
2021-07-14,9209910.18204,193581.4820400012,2021-07-14,"{""h000016"": 2700}",twoma_strategy
2021-07-15,9404061.24204,193581.4820400012,2021-07-15,"{""h000016"": 2700}",twoma_strategy
2021-07-16,9292309.86204,193581.4820400012,2021-07-16,"{""h000016"": 2700}",twoma_strategy
2021-07-19,9334070.76204,193581.4820400012,2021-07-19,"{""h000016"": 2700}",twoma_strategy
2021-07-20,9315880.32204,193581.4820400012,2021-07-20,"{""h000016"": 2700}",twoma_strategy
2021-07-21,9342585.752040002,193581.4820400012,2021-07-21,"{""h000016"": 2700}",twoma_strategy
2021-07-22,9353916.032040002,193581.4820400012,2021-07-22,"{""h000016"": 2700}",twoma_strategy
2021-07-23,9251436.296520002,9251436.296520002,2021-07-23,{},twoma_strategy
2021-07-26,9251436.296520002,9251436.296520002,2021-07-26,{},twoma_strategy
2021-07-27,9249622.998614002,183133.46861400286,2021-07-27,"{""h000016"": 2900}",twoma_strategy
2021-07-28,9331575.838614002,183133.46861400286,2021-07-28,"{""h000016"": 2900}",twoma_strategy
2021-07-29,9413241.868614003,183133.46861400286,2021-07-29,"{""h000016"": 2900}",twoma_strategy
2021-07-30,9268312.918614002,183133.46861400286,2021-07-30,"{""h000016"": 2900}",twoma_strategy
2021-08-02,9495451.358614003,183133.46861400286,2021-08-02,"{""h000016"": 2900}",twoma_strategy
2021-08-03,9532227.998614002,183133.46861400286,2021-08-03,"{""h000016"": 2900}",twoma_strategy
2021-08-04,9559132.168614004,183133.46861400286,2021-08-04,"{""h000016"": 2900}",twoma_strategy
2021-08-05,9542475.148614002,183133.46861400286,2021-08-05,"{""h000016"": 2900}",twoma_strategy
2021-08-06,9450651.868614003,183133.46861400286,2021-08-06,"{""h000016"": 2900}",twoma_strategy
2021-08-09,9565232.028614003,183133.46861400286,2021-08-09,"{""h000016"": 2900}",twoma_strategy
2021-08-10,9712592.567598002,9712592.567598002,2021-08-10,{},twoma_strategy
2021-08-11,9712592.567598002,9712592.567598002,2021-08-11,{},twoma_strategy
2021-08-12,9712592.567598002,9712592.567598002,2021-08-12,{},twoma_strategy
2021-08-13,9712592.567598002,9712592.567598002,2021-08-13,{},twoma_strategy
2021-08-16,9712592.567598002,9712592.567598002,2021-08-16,{},twoma_strategy
2021-08-17,9712592.567598002,9712592.567598002,2021-08-17,{},twoma_strategy
2021-08-18,9712592.567598002,9712592.567598002,2021-08-18,{},twoma_strategy
2021-08-19,9710705.942838002,277582.1428380013,2021-08-19,"{""h000016"": 3000}",twoma_strategy
2021-08-20,9495845.642838001,277582.1428380013,2021-08-20,"{""h000016"": 3000}",twoma_strategy
2021-08-23,9577242.242838,277582.1428380013,2021-08-23,"{""h000016"": 3000}",twoma_strategy
2021-08-24,9720887.642838001,277582.1428380013,2021-08-24,"{""h000016"": 3000}",twoma_strategy
2021-08-25,9756992.342838,277582.1428380013,2021-08-25,"{""h000016"": 3000}",twoma_strategy
2021-08-26,9544076.342838,277582.1428380013,2021-08-26,"{""h000016"": 3000}",twoma_strategy
2021-08-27,9646729.142838001,277582.1428380013,2021-08-27,"{""h000016"": 3000}",twoma_strategy
2021-08-30,9615688.742838,277582.1428380013,2021-08-30,"{""h000016"": 3000}",twoma_strategy
2021-08-31,9568757.342838,277582.1428380013,2021-08-31,"{""h000016"": 3000}",twoma_strategy
2021-09-01,9772693.442838002,277582.1428380013,2021-09-01,"{""h000016"": 3000}",twoma_strategy
2021-09-02,9778873.742838,277582.1428380013,2021-09-02,"{""h000016"": 3000}",twoma_strategy
2021-09-03,9797597.332998002,9797597.332998002,2021-09-03,{},twoma_strategy
2021-09-06,9797597.332998002,9797597.332998002,2021-09-06,{},twoma_strategy
2021-09-07,9797597.332998002,9797597.332998002,2021-09-07,{},twoma_strategy
2021-09-08,9797597.332998002,9797597.332998002,2021-09-08,{},twoma_strategy
2021-09-09,9797597.332998002,9797597.332998002,2021-09-09,{},twoma_strategy
2021-09-10,9797597.332998002,9797597.332998002,2021-09-10,{},twoma_strategy
2021-09-13,9797597.332998002,9797597.332998002,2021-09-13,{},twoma_strategy
2021-09-14,9797597.332998002,9797597.332998002,2021-09-14,{},twoma_strategy
2021-09-15,9797597.332998002,9797597.332998002,2021-09-15,{},twoma_strategy
2021-09-16,9797597.332998002,9797597.332998002,2021-09-16,{},twoma_strategy
2021-09-17,9795700.179738002,309933.8797380031,2021-09-17,"{""h000016"": 3000}",twoma_strategy
2021-09-22,9676945.179738004,309933.8797380031,2021-09-22,"{""h000016"": 3000}",twoma_strategy
2021-09-23,9693395.979738005,309933.8797380031,2021-09-23,"{""h000016"": 3000}",twoma_strategy
2021-09-24,9745269.879738003,309933.8797380031,2021-09-24,"{""h000016"": 3000}",twoma_strategy
2021-09-27,9909857.979738005,309933.8797380031,2021-09-27,"{""h000016"": 3000}",twoma_strategy
2021-09-28,9943395.279738003,309933.8797380031,2021-09-28,"{""h000016"": 3000}",twoma_strategy
2021-09-29,9907611.579738002,309933.8797380031,2021-09-29,"{""h000016"": 3000}",twoma_strategy
