,value,cash,date,position,strategy_name
2021-02-24,10000000.0,10000000.0,2021-02-24,{},bulin_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},bulin_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},bulin_strategy
2021-03-01,10000000.0,10000000.0,2021-03-01,{},bulin_strategy
2021-03-02,10000000.0,10000000.0,2021-03-02,{},bulin_strategy
2021-03-03,10000000.0,10000000.0,2021-03-03,{},bulin_strategy
2021-03-04,10000000.0,10000000.0,2021-03-04,{},bulin_strategy
2021-03-05,10000000.0,10000000.0,2021-03-05,{},bulin_strategy
2021-03-08,10000000.0,10000000.0,2021-03-08,{},bulin_strategy
2021-03-09,9998034.616328,171116.2563280006,2021-03-09,"{""h000016"": 2800}",bulin_strategy
2021-03-10,10060862.696328,171116.2563280006,2021-03-10,"{""h000016"": 2800}",bulin_strategy
2021-03-11,10321970.816327998,171116.2563280006,2021-03-11,"{""h000016"": 2800}",bulin_strategy
2021-03-12,10342335.776328,171116.2563280006,2021-03-12,"{""h000016"": 2800}",bulin_strategy
2021-03-15,10158372.696328,171116.2563280006,2021-03-15,"{""h000016"": 2800}",bulin_strategy
2021-03-16,10248777.136328,171116.2563280006,2021-03-16,"{""h000016"": 2800}",bulin_strategy
2021-03-17,10225451.176328,171116.2563280006,2021-03-17,"{""h000016"": 2800}",bulin_strategy
2021-03-18,10266809.416328,171116.2563280006,2021-03-18,"{""h000016"": 2800}",bulin_strategy
2021-03-19,10004773.096328,171116.2563280006,2021-03-19,"{""h000016"": 2800}",bulin_strategy
2021-03-22,10078712.136327999,171116.2563280006,2021-03-22,"{""h000016"": 2800}",bulin_strategy
2021-03-23,10016931.536328,171116.2563280006,2021-03-23,"{""h000016"": 2800}",bulin_strategy
2021-03-24,9876034.416328,171116.2563280006,2021-03-24,"{""h000016"": 2800}",bulin_strategy
2021-03-25,9869959.816328,171116.2563280006,2021-03-25,"{""h000016"": 2800}",bulin_strategy
2021-03-26,10054355.216328,171116.2563280006,2021-03-26,"{""h000016"": 2800}",bulin_strategy
2021-03-29,10076707.056327999,171116.2563280006,2021-03-29,"{""h000016"": 2800}",bulin_strategy
2021-03-30,10187397.776328,171116.2563280006,2021-03-30,"{""h000016"": 2800}",bulin_strategy
2021-03-31,10081351.136328,171116.2563280006,2021-03-31,"{""h000016"": 2800}",bulin_strategy
2021-04-01,10202535.976327999,171116.2563280006,2021-04-01,"{""h000016"": 2800}",bulin_strategy
2021-04-02,10298054.336328,171116.2563280006,2021-04-02,"{""h000016"": 2800}",bulin_strategy
2021-04-06,10236302.296327999,171116.2563280006,2021-04-06,"{""h000016"": 2800}",bulin_strategy
2021-04-07,10134828.896328,171116.2563280006,2021-04-07,"{""h000016"": 2800}",bulin_strategy
2021-04-08,10175619.856328,171116.2563280006,2021-04-08,"{""h000016"": 2800}",bulin_strategy
2021-04-09,10010625.936328,171116.2563280006,2021-04-09,"{""h000016"": 2800}",bulin_strategy
2021-04-12,9906899.376327999,171116.2563280006,2021-04-12,"{""h000016"": 2800}",bulin_strategy
2021-04-13,9863202.016328,171116.2563280006,2021-04-13,"{""h000016"": 2800}",bulin_strategy
2021-04-14,9884799.816328,171116.2563280006,2021-04-14,"{""h000016"": 2800}",bulin_strategy
2021-04-15,9779296.936328,171116.2563280006,2021-04-15,"{""h000016"": 2800}",bulin_strategy
2021-04-16,9825808.016328,171116.2563280006,2021-04-16,"{""h000016"": 2800}",bulin_strategy
2021-04-19,10008623.096328,171116.2563280006,2021-04-19,"{""h000016"": 2800}",bulin_strategy
2021-04-20,9999463.176328,171116.2563280006,2021-04-20,"{""h000016"": 2800}",bulin_strategy
2021-04-21,10016189.536328,171116.2563280006,2021-04-21,"{""h000016"": 2800}",bulin_strategy
2021-04-22,9935912.136327999,171116.2563280006,2021-04-22,"{""h000016"": 2800}",bulin_strategy
2021-04-23,10038376.736328,171116.2563280006,2021-04-23,"{""h000016"": 2800}",bulin_strategy
2021-04-26,9880565.656328,171116.2563280006,2021-04-26,"{""h000016"": 2800}",bulin_strategy
2021-04-27,9904761.296328,171116.2563280006,2021-04-27,"{""h000016"": 2800}",bulin_strategy
2021-04-28,9895625.176328,171116.2563280006,2021-04-28,"{""h000016"": 2800}",bulin_strategy
2021-04-29,10019305.376327999,171116.2563280006,2021-04-29,"{""h000016"": 2800}",bulin_strategy
2021-04-30,9946441.816328,171116.2563280006,2021-04-30,"{""h000016"": 2800}",bulin_strategy
2021-05-06,9830944.056328,171116.2563280006,2021-05-06,"{""h000016"": 2800}",bulin_strategy
2021-05-07,9708785.096328,171116.2563280006,2021-05-07,"{""h000016"": 2800}",bulin_strategy
2021-05-10,9691073.976328,171116.2563280006,2021-05-10,"{""h000016"": 2800}",bulin_strategy
2021-05-11,9796714.056327999,171116.2563280006,2021-05-11,"{""h000016"": 2800}",bulin_strategy
2021-05-12,9825129.016328,171116.2563280006,2021-05-12,"{""h000016"": 2800}",bulin_strategy
2021-05-13,9730004.336328,171116.2563280006,2021-05-13,"{""h000016"": 2800}",bulin_strategy
2021-05-14,9979619.856328,171116.2563280006,2021-05-14,"{""h000016"": 2800}",bulin_strategy
2021-05-17,10082871.256328,171116.2563280006,2021-05-17,"{""h000016"": 2800}",bulin_strategy
2021-05-18,10076665.896328,171116.2563280006,2021-05-18,"{""h000016"": 2800}",bulin_strategy
2021-05-19,10003224.976328,171116.2563280006,2021-05-19,"{""h000016"": 2800}",bulin_strategy
2021-05-20,10033979.616328,171116.2563280006,2021-05-20,"{""h000016"": 2800}",bulin_strategy
2021-05-21,9920329.576328,171116.2563280006,2021-05-21,"{""h000016"": 2800}",bulin_strategy
2021-05-24,9964807.576328,171116.2563280006,2021-05-24,"{""h000016"": 2800}",bulin_strategy
2021-05-25,10366733.296327999,171116.2563280006,2021-05-25,"{""h000016"": 2800}",bulin_strategy
2021-05-26,10403055.591176,10403055.591176,2021-05-26,{},bulin_strategy
2021-05-27,10403055.591176,10403055.591176,2021-05-27,{},bulin_strategy
2021-05-28,10403055.591176,10403055.591176,2021-05-28,{},bulin_strategy
2021-05-31,10403055.591176,10403055.591176,2021-05-31,{},bulin_strategy
2021-06-01,10403055.591176,10403055.591176,2021-06-01,{},bulin_strategy
2021-06-02,10403055.591176,10403055.591176,2021-06-02,{},bulin_strategy
2021-06-03,10403055.591176,10403055.591176,2021-06-03,{},bulin_strategy
2021-06-04,10403055.591176,10403055.591176,2021-06-04,{},bulin_strategy
2021-06-07,10403055.591176,10403055.591176,2021-06-07,{},bulin_strategy
2021-06-08,10403055.591176,10403055.591176,2021-06-08,{},bulin_strategy
2021-06-09,10403055.591176,10403055.591176,2021-06-09,{},bulin_strategy
2021-06-10,10403055.591176,10403055.591176,2021-06-10,{},bulin_strategy
2021-06-11,10403055.591176,10403055.591176,2021-06-11,{},bulin_strategy
2021-06-15,10403055.591176,10403055.591176,2021-06-15,{},bulin_strategy
2021-06-16,10403055.591176,10403055.591176,2021-06-16,{},bulin_strategy
2021-06-17,10403055.591176,10403055.591176,2021-06-17,{},bulin_strategy
2021-06-18,10403055.591176,10403055.591176,2021-06-18,{},bulin_strategy
2021-06-21,10403055.591176,10403055.591176,2021-06-21,{},bulin_strategy
2021-06-22,10400976.767756,6859.667755999864,2021-06-22,"{""h000016"": 3000}",bulin_strategy
2021-06-23,10420882.967756001,6859.667755999864,2021-06-23,"{""h000016"": 3000}",bulin_strategy
2021-06-24,10458587.567755999,6859.667755999864,2021-06-24,"{""h000016"": 3000}",bulin_strategy
2021-06-25,10611915.167756,6859.667755999864,2021-06-25,"{""h000016"": 3000}",bulin_strategy
2021-06-28,10569089.867756,6859.667755999864,2021-06-28,"{""h000016"": 3000}",bulin_strategy
2021-06-29,10455059.567756,6859.667755999864,2021-06-29,"{""h000016"": 3000}",bulin_strategy
2021-06-30,10502805.167756,6859.667755999864,2021-06-30,"{""h000016"": 3000}",bulin_strategy
2021-07-01,10612606.667756,6859.667755999864,2021-07-01,"{""h000016"": 3000}",bulin_strategy
2021-07-02,10231570.367756,6859.667755999864,2021-07-02,"{""h000016"": 3000}",bulin_strategy
2021-07-05,10221231.767756,6859.667755999864,2021-07-05,"{""h000016"": 3000}",bulin_strategy
2021-07-06,10222696.067756,6859.667755999864,2021-07-06,"{""h000016"": 3000}",bulin_strategy
2021-07-07,10280028.767756,6859.667755999864,2021-07-07,"{""h000016"": 3000}",bulin_strategy
2021-07-08,10126626.167756,6859.667755999864,2021-07-08,"{""h000016"": 3000}",bulin_strategy
2021-07-09,10091643.467756,6859.667755999864,2021-07-09,"{""h000016"": 3000}",bulin_strategy
2021-07-12,10160381.867756,6859.667755999864,2021-07-12,"{""h000016"": 3000}",bulin_strategy
2021-07-13,10182085.667756,6859.667755999864,2021-07-13,"{""h000016"": 3000}",bulin_strategy
2021-07-14,10025002.667756,6859.667755999864,2021-07-14,"{""h000016"": 3000}",bulin_strategy
2021-07-15,10240726.067755999,6859.667755999864,2021-07-15,"{""h000016"": 3000}",bulin_strategy
2021-07-16,10116557.867756,6859.667755999864,2021-07-16,"{""h000016"": 3000}",bulin_strategy
2021-07-19,10162958.867756,6859.667755999864,2021-07-19,"{""h000016"": 3000}",bulin_strategy
2021-07-20,10142747.267756,6859.667755999864,2021-07-20,"{""h000016"": 3000}",bulin_strategy
2021-07-21,10172419.967756001,6859.667755999864,2021-07-21,"{""h000016"": 3000}",bulin_strategy
2021-07-22,10185009.167756,6859.667755999864,2021-07-22,"{""h000016"": 3000}",bulin_strategy
2021-07-23,10079200.667756,6859.667755999864,2021-07-23,"{""h000016"": 3000}",bulin_strategy
2021-07-26,9691969.067756,6859.667755999864,2021-07-26,"{""h000016"": 3000}",bulin_strategy
2021-07-27,9385986.767756,6859.667755999864,2021-07-27,"{""h000016"": 3000}",bulin_strategy
2021-07-28,9470765.567756,6859.667755999864,2021-07-28,"{""h000016"": 3000}",bulin_strategy
2021-07-29,9555247.667756,6859.667755999864,2021-07-29,"{""h000016"": 3000}",bulin_strategy
2021-07-30,9405321.167756,6859.667755999864,2021-07-30,"{""h000016"": 3000}",bulin_strategy
2021-08-02,9640291.967756001,6859.667755999864,2021-08-02,"{""h000016"": 3000}",bulin_strategy
2021-08-03,9678336.767756,6859.667755999864,2021-08-03,"{""h000016"": 3000}",bulin_strategy
2021-08-04,9706168.667756,6859.667755999864,2021-08-04,"{""h000016"": 3000}",bulin_strategy
2021-08-05,9688937.267756,6859.667755999864,2021-08-05,"{""h000016"": 3000}",bulin_strategy
2021-08-06,9593947.667756,6859.667755999864,2021-08-06,"{""h000016"": 3000}",bulin_strategy
2021-08-09,9712478.867756,6859.667755999864,2021-08-09,"{""h000016"": 3000}",bulin_strategy
2021-08-10,9872813.567756,6859.667755999864,2021-08-10,"{""h000016"": 3000}",bulin_strategy
2021-08-11,9794584.967756001,6859.667755999864,2021-08-11,"{""h000016"": 3000}",bulin_strategy
2021-08-12,9685200.167756,6859.667755999864,2021-08-12,"{""h000016"": 3000}",bulin_strategy
2021-08-13,9660369.467756001,6859.667755999864,2021-08-13,"{""h000016"": 3000}",bulin_strategy
2021-08-16,9674726.267756,6859.667755999864,2021-08-16,"{""h000016"": 3000}",bulin_strategy
2021-08-17,9456494.567756,6859.667755999864,2021-08-17,"{""h000016"": 3000}",bulin_strategy
2021-08-18,9578515.067756,6859.667755999864,2021-08-18,"{""h000016"": 3000}",bulin_strategy
2021-08-19,9439983.467756001,6859.667755999864,2021-08-19,"{""h000016"": 3000}",bulin_strategy
2021-08-20,9225123.167756,6859.667755999864,2021-08-20,"{""h000016"": 3000}",bulin_strategy
2021-08-23,9306519.767756,6859.667755999864,2021-08-23,"{""h000016"": 3000}",bulin_strategy
2021-08-24,9450165.167756,6859.667755999864,2021-08-24,"{""h000016"": 3000}",bulin_strategy
2021-08-25,9486269.867756,6859.667755999864,2021-08-25,"{""h000016"": 3000}",bulin_strategy
2021-08-26,9273353.867756,6859.667755999864,2021-08-26,"{""h000016"": 3000}",bulin_strategy
2021-08-27,9376006.667756,6859.667755999864,2021-08-27,"{""h000016"": 3000}",bulin_strategy
2021-08-30,9344966.267756,6859.667755999864,2021-08-30,"{""h000016"": 3000}",bulin_strategy
2021-08-31,9298034.867756,6859.667755999864,2021-08-31,"{""h000016"": 3000}",bulin_strategy
2021-09-01,9501970.967756001,6859.667755999864,2021-09-01,"{""h000016"": 3000}",bulin_strategy
2021-09-02,9508151.267756,6859.667755999864,2021-09-02,"{""h000016"": 3000}",bulin_strategy
2021-09-03,9534496.967756001,6859.667755999864,2021-09-03,"{""h000016"": 3000}",bulin_strategy
2021-09-06,9640453.667756,6859.667755999864,2021-09-06,"{""h000016"": 3000}",bulin_strategy
2021-09-07,9751016.867756,6859.667755999864,2021-09-07,"{""h000016"": 3000}",bulin_strategy
2021-09-08,9646629.767756,6859.667755999864,2021-09-08,"{""h000016"": 3000}",bulin_strategy
2021-09-09,9619694.267756002,6859.667755999864,2021-09-09,"{""h000016"": 3000}",bulin_strategy
2021-09-10,9763833.467756,6859.667755999864,2021-09-10,"{""h000016"": 3000}",bulin_strategy
2021-09-13,9732968.867756,6859.667755999864,2021-09-13,"{""h000016"": 3000}",bulin_strategy
2021-09-14,9571641.767756,6859.667755999864,2021-09-14,"{""h000016"": 3000}",bulin_strategy
2021-09-15,9446760.767756,6859.667755999864,2021-09-15,"{""h000016"": 3000}",bulin_strategy
2021-09-16,9392625.467756001,6859.667755999864,2021-09-16,"{""h000016"": 3000}",bulin_strategy
2021-09-17,9492625.967756,6859.667755999864,2021-09-17,"{""h000016"": 3000}",bulin_strategy
2021-09-22,9373870.967756001,6859.667755999864,2021-09-22,"{""h000016"": 3000}",bulin_strategy
2021-09-23,9390321.767756002,6859.667755999864,2021-09-23,"{""h000016"": 3000}",bulin_strategy
2021-09-24,9442195.667756,6859.667755999864,2021-09-24,"{""h000016"": 3000}",bulin_strategy
2021-09-27,9606783.767756002,6859.667755999864,2021-09-27,"{""h000016"": 3000}",bulin_strategy
2021-09-28,9640321.067756,6859.667755999864,2021-09-28,"{""h000016"": 3000}",bulin_strategy
2021-09-29,9604537.367756,6859.667755999864,2021-09-29,"{""h000016"": 3000}",bulin_strategy
2021-09-30,9597831.167756,6859.667755999864,2021-09-30,"{""h000016"": 3000}",bulin_strategy
2021-10-08,9775643.567756,6859.667755999864,2021-10-08,"{""h000016"": 3000}",bulin_strategy
2021-10-11,9836080.967756,6859.667755999864,2021-10-11,"{""h000016"": 3000}",bulin_strategy
2021-10-12,9784998.467756001,6859.667755999864,2021-10-12,"{""h000016"": 3000}",bulin_strategy
2021-10-13,9885146.867756002,6859.667755999864,2021-10-13,"{""h000016"": 3000}",bulin_strategy
2021-10-14,9818935.667756,6859.667755999864,2021-10-14,"{""h000016"": 3000}",bulin_strategy
2021-10-15,9891359.567755999,6859.667755999864,2021-10-15,"{""h000016"": 3000}",bulin_strategy
2021-10-18,9695753.567756,6859.667755999864,2021-10-18,"{""h000016"": 3000}",bulin_strategy
2021-10-19,9776863.667756,6859.667755999864,2021-10-19,"{""h000016"": 3000}",bulin_strategy
2021-10-20,9771853.967756,6859.667755999864,2021-10-20,"{""h000016"": 3000}",bulin_strategy
2021-10-21,9842485.367756002,6859.667755999864,2021-10-21,"{""h000016"": 3000}",bulin_strategy
2021-10-22,9961242.167756,6859.667755999864,2021-10-22,"{""h000016"": 3000}",bulin_strategy
2021-10-25,9943768.967756001,6859.667755999864,2021-10-25,"{""h000016"": 3000}",bulin_strategy
2021-10-26,9876968.567756,6859.667755999864,2021-10-26,"{""h000016"": 3000}",bulin_strategy
2021-10-27,9748149.467756,6859.667755999864,2021-10-27,"{""h000016"": 3000}",bulin_strategy
2021-10-28,9725690.867756,6859.667755999864,2021-10-28,"{""h000016"": 3000}",bulin_strategy
2021-10-29,9808606.967756001,6859.667755999864,2021-10-29,"{""h000016"": 3000}",bulin_strategy
2021-11-01,9759604.667756,6859.667755999864,2021-11-01,"{""h000016"": 3000}",bulin_strategy
2021-11-02,9642937.067756,6859.667755999864,2021-11-02,"{""h000016"": 3000}",bulin_strategy
2021-11-03,9551211.167756,6859.667755999864,2021-11-03,"{""h000016"": 3000}",bulin_strategy
2021-11-04,9628651.367756,6859.667755999864,2021-11-04,"{""h000016"": 3000}",bulin_strategy
2021-11-05,9611498.267756002,6859.667755999864,2021-11-05,"{""h000016"": 3000}",bulin_strategy
2021-11-08,9595669.967756001,6859.667755999864,2021-11-08,"{""h000016"": 3000}",bulin_strategy
2021-11-09,9567732.767756,6859.667755999864,2021-11-09,"{""h000016"": 3000}",bulin_strategy
2021-11-10,9518073.467756,6859.667755999864,2021-11-10,"{""h000016"": 3000}",bulin_strategy
2021-11-11,9706970.267756,6859.667755999864,2021-11-11,"{""h000016"": 3000}",bulin_strategy
2021-11-12,9668503.967756001,6859.667755999864,2021-11-12,"{""h000016"": 3000}",bulin_strategy
2021-11-15,9671919.467756001,6859.667755999864,2021-11-15,"{""h000016"": 3000}",bulin_strategy
2021-11-16,9673378.967756001,6859.667755999864,2021-11-16,"{""h000016"": 3000}",bulin_strategy
2021-11-17,9633187.367756002,6859.667755999864,2021-11-17,"{""h000016"": 3000}",bulin_strategy
2021-11-18,9526987.067755999,6859.667755999864,2021-11-18,"{""h000016"": 3000}",bulin_strategy
2021-11-19,9645582.767756002,6859.667755999864,2021-11-19,"{""h000016"": 3000}",bulin_strategy
2021-11-22,9643313.867756002,6859.667755999864,2021-11-22,"{""h000016"": 3000}",bulin_strategy
2021-11-23,9679323.467756,6859.667755999864,2021-11-23,"{""h000016"": 3000}",bulin_strategy
2021-11-24,9702365.867756,6859.667755999864,2021-11-24,"{""h000016"": 3000}",bulin_strategy
2021-11-25,9661013.867756,6859.667755999864,2021-11-25,"{""h000016"": 3000}",bulin_strategy
2021-11-26,9568933.367756,6859.667755999864,2021-11-26,"{""h000016"": 3000}",bulin_strategy
2021-11-29,9568005.167756,6859.667755999864,2021-11-29,"{""h000016"": 3000}",bulin_strategy
2021-11-30,9502908.467756001,6859.667755999864,2021-11-30,"{""h000016"": 3000}",bulin_strategy
2021-12-01,9548113.667756,6859.667755999864,2021-12-01,"{""h000016"": 3000}",bulin_strategy
2021-12-02,9579475.067756,6859.667755999864,2021-12-02,"{""h000016"": 3000}",bulin_strategy
2021-12-03,9671126.567756,6859.667755999864,2021-12-03,"{""h000016"": 3000}",bulin_strategy
2021-12-06,9691286.267756,6859.667755999864,2021-12-06,"{""h000016"": 3000}",bulin_strategy
2021-12-07,9770357.867756002,6859.667755999864,2021-12-07,"{""h000016"": 3000}",bulin_strategy
2021-12-08,9920983.667756,6859.667755999864,2021-12-08,"{""h000016"": 3000}",bulin_strategy
2021-12-09,10079346.027115999,10079346.027115999,2021-12-09,{},bulin_strategy
2021-12-10,10079346.027115999,10079346.027115999,2021-12-10,{},bulin_strategy
2021-12-13,10079346.027115999,10079346.027115999,2021-12-13,{},bulin_strategy
2021-12-14,10079346.027115999,10079346.027115999,2021-12-14,{},bulin_strategy
2021-12-15,10079346.027115999,10079346.027115999,2021-12-15,{},bulin_strategy
2021-12-16,10079346.027115999,10079346.027115999,2021-12-16,{},bulin_strategy
2021-12-17,10079346.027115999,10079346.027115999,2021-12-17,{},bulin_strategy
2021-12-20,10079346.027115999,10079346.027115999,2021-12-20,{},bulin_strategy
2021-12-21,10079346.027115999,10079346.027115999,2021-12-21,{},bulin_strategy
2021-12-22,10079346.027115999,10079346.027115999,2021-12-22,{},bulin_strategy
2021-12-23,10079346.027115999,10079346.027115999,2021-12-23,{},bulin_strategy
2021-12-24,10079346.027115999,10079346.027115999,2021-12-24,{},bulin_strategy
2021-12-27,10079346.027115999,10079346.027115999,2021-12-27,{},bulin_strategy
2021-12-28,10079346.027115999,10079346.027115999,2021-12-28,{},bulin_strategy
2021-12-29,10079346.027115999,10079346.027115999,2021-12-29,{},bulin_strategy
2021-12-30,10079346.027115999,10079346.027115999,2021-12-30,{},bulin_strategy
2021-12-31,10079346.027115999,10079346.027115999,2021-12-31,{},bulin_strategy
2022-01-04,10079346.027115999,10079346.027115999,2022-01-04,{},bulin_strategy
2022-01-05,10079346.027115999,10079346.027115999,2022-01-05,{},bulin_strategy
2022-01-06,10079346.027115999,10079346.027115999,2022-01-06,{},bulin_strategy
2022-01-07,10079346.027115999,10079346.027115999,2022-01-07,{},bulin_strategy
2022-01-10,10079346.027115999,10079346.027115999,2022-01-10,{},bulin_strategy
2022-01-11,10079346.027115999,10079346.027115999,2022-01-11,{},bulin_strategy
