,value,cash,date,position,strategy_name
2021-02-24,10000000.0,10000000.0,2021-02-24,{},rsi_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},rsi_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},rsi_strategy
2021-03-01,10000000.0,10000000.0,2021-03-01,{},rsi_strategy
2021-03-02,10000000.0,10000000.0,2021-03-02,{},rsi_strategy
2021-03-03,10000000.0,10000000.0,2021-03-03,{},rsi_strategy
2021-03-04,10000000.0,10000000.0,2021-03-04,{},rsi_strategy
2021-03-05,10000000.0,10000000.0,2021-03-05,{},rsi_strategy
2021-03-08,10000000.0,10000000.0,2021-03-08,{},rsi_strategy
2021-03-09,9998034.616328,171116.2563280006,2021-03-09,"{""h000016"": 2800}",rsi_strategy
2021-03-10,10060862.696328,171116.2563280006,2021-03-10,"{""h000016"": 2800}",rsi_strategy
2021-03-11,10321970.816327998,171116.2563280006,2021-03-11,"{""h000016"": 2800}",rsi_strategy
2021-03-12,10342335.776328,171116.2563280006,2021-03-12,"{""h000016"": 2800}",rsi_strategy
2021-03-15,10158372.696328,171116.2563280006,2021-03-15,"{""h000016"": 2800}",rsi_strategy
2021-03-16,10248777.136328,171116.2563280006,2021-03-16,"{""h000016"": 2800}",rsi_strategy
2021-03-17,10225451.176328,171116.2563280006,2021-03-17,"{""h000016"": 2800}",rsi_strategy
2021-03-18,10266809.416328,171116.2563280006,2021-03-18,"{""h000016"": 2800}",rsi_strategy
2021-03-19,10004773.096328,171116.2563280006,2021-03-19,"{""h000016"": 2800}",rsi_strategy
2021-03-22,10078712.136327999,171116.2563280006,2021-03-22,"{""h000016"": 2800}",rsi_strategy
2021-03-23,10016931.536328,171116.2563280006,2021-03-23,"{""h000016"": 2800}",rsi_strategy
2021-03-24,9876034.416328,171116.2563280006,2021-03-24,"{""h000016"": 2800}",rsi_strategy
2021-03-25,9869959.816328,171116.2563280006,2021-03-25,"{""h000016"": 2800}",rsi_strategy
2021-03-26,10054355.216328,171116.2563280006,2021-03-26,"{""h000016"": 2800}",rsi_strategy
2021-03-29,10076707.056327999,171116.2563280006,2021-03-29,"{""h000016"": 2800}",rsi_strategy
2021-03-30,10187397.776328,171116.2563280006,2021-03-30,"{""h000016"": 2800}",rsi_strategy
2021-03-31,10081351.136328,171116.2563280006,2021-03-31,"{""h000016"": 2800}",rsi_strategy
2021-04-01,10202535.976327999,171116.2563280006,2021-04-01,"{""h000016"": 2800}",rsi_strategy
2021-04-02,10298054.336328,171116.2563280006,2021-04-02,"{""h000016"": 2800}",rsi_strategy
2021-04-06,10236302.296327999,171116.2563280006,2021-04-06,"{""h000016"": 2800}",rsi_strategy
2021-04-07,10134828.896328,171116.2563280006,2021-04-07,"{""h000016"": 2800}",rsi_strategy
2021-04-08,10175619.856328,171116.2563280006,2021-04-08,"{""h000016"": 2800}",rsi_strategy
2021-04-09,10010625.936328,171116.2563280006,2021-04-09,"{""h000016"": 2800}",rsi_strategy
2021-04-12,9906899.376327999,171116.2563280006,2021-04-12,"{""h000016"": 2800}",rsi_strategy
2021-04-13,9863202.016328,171116.2563280006,2021-04-13,"{""h000016"": 2800}",rsi_strategy
2021-04-14,9884799.816328,171116.2563280006,2021-04-14,"{""h000016"": 2800}",rsi_strategy
2021-04-15,9779296.936328,171116.2563280006,2021-04-15,"{""h000016"": 2800}",rsi_strategy
2021-04-16,9825808.016328,171116.2563280006,2021-04-16,"{""h000016"": 2800}",rsi_strategy
2021-04-19,10008623.096328,171116.2563280006,2021-04-19,"{""h000016"": 2800}",rsi_strategy
2021-04-20,9999463.176328,171116.2563280006,2021-04-20,"{""h000016"": 2800}",rsi_strategy
2021-04-21,10016189.536328,171116.2563280006,2021-04-21,"{""h000016"": 2800}",rsi_strategy
2021-04-22,9935912.136327999,171116.2563280006,2021-04-22,"{""h000016"": 2800}",rsi_strategy
2021-04-23,10038376.736328,171116.2563280006,2021-04-23,"{""h000016"": 2800}",rsi_strategy
2021-04-26,9880565.656328,171116.2563280006,2021-04-26,"{""h000016"": 2800}",rsi_strategy
2021-04-27,9904761.296328,171116.2563280006,2021-04-27,"{""h000016"": 2800}",rsi_strategy
2021-04-28,9895625.176328,171116.2563280006,2021-04-28,"{""h000016"": 2800}",rsi_strategy
2021-04-29,10019305.376327999,171116.2563280006,2021-04-29,"{""h000016"": 2800}",rsi_strategy
2021-04-30,9946441.816328,171116.2563280006,2021-04-30,"{""h000016"": 2800}",rsi_strategy
2021-05-06,9830944.056328,171116.2563280006,2021-05-06,"{""h000016"": 2800}",rsi_strategy
2021-05-07,9708785.096328,171116.2563280006,2021-05-07,"{""h000016"": 2800}",rsi_strategy
2021-05-10,9691073.976328,171116.2563280006,2021-05-10,"{""h000016"": 2800}",rsi_strategy
2021-05-11,9796714.056327999,171116.2563280006,2021-05-11,"{""h000016"": 2800}",rsi_strategy
2021-05-12,9825129.016328,171116.2563280006,2021-05-12,"{""h000016"": 2800}",rsi_strategy
2021-05-13,9730004.336328,171116.2563280006,2021-05-13,"{""h000016"": 2800}",rsi_strategy
2021-05-14,9979619.856328,171116.2563280006,2021-05-14,"{""h000016"": 2800}",rsi_strategy
2021-05-17,10082871.256328,171116.2563280006,2021-05-17,"{""h000016"": 2800}",rsi_strategy
2021-05-18,10076665.896328,171116.2563280006,2021-05-18,"{""h000016"": 2800}",rsi_strategy
2021-05-19,10003224.976328,171116.2563280006,2021-05-19,"{""h000016"": 2800}",rsi_strategy
2021-05-20,10033979.616328,171116.2563280006,2021-05-20,"{""h000016"": 2800}",rsi_strategy
2021-05-21,9920329.576328,171116.2563280006,2021-05-21,"{""h000016"": 2800}",rsi_strategy
2021-05-24,9964807.576328,171116.2563280006,2021-05-24,"{""h000016"": 2800}",rsi_strategy
2021-05-25,10366733.296327999,171116.2563280006,2021-05-25,"{""h000016"": 2800}",rsi_strategy
2021-05-26,10411247.696328,171116.2563280006,2021-05-26,"{""h000016"": 2800}",rsi_strategy
