,value,cash,date,position,strategy_name
2021-02-24,10000000.0,10000000.0,2021-02-24,{},rsi_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},rsi_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},rsi_strategy
2021-03-01,10000000.0,10000000.0,2021-03-01,{},rsi_strategy
2021-03-02,10000000.0,10000000.0,2021-03-02,{},rsi_strategy
2021-03-03,10000000.0,10000000.0,2021-03-03,{},rsi_strategy
2021-03-04,10000000.0,10000000.0,2021-03-04,{},rsi_strategy
2021-03-05,10000000.0,10000000.0,2021-03-05,{},rsi_strategy
2021-03-08,10000000.0,10000000.0,2021-03-08,{},rsi_strategy
2021-03-09,9998011.60024,56012.80024000112,2021-03-09,"{""h000300"": 2000}",rsi_strategy
2021-03-10,10063237.000240002,56012.80024000112,2021-03-10,"{""h000300"": 2000}",rsi_strategy
2021-03-11,10312444.000240002,56012.80024000112,2021-03-11,"{""h000300"": 2000}",rsi_strategy
2021-03-12,10348770.00024,56012.80024000112,2021-03-12,"{""h000300"": 2000}",rsi_strategy
2021-03-15,10127101.00024,56012.80024000112,2021-03-15,"{""h000300"": 2000}",rsi_strategy
2021-03-16,10214737.600240001,56012.80024000112,2021-03-16,"{""h000300"": 2000}",rsi_strategy
2021-03-17,10257729.000240002,56012.80024000112,2021-03-17,"{""h000300"": 2000}",rsi_strategy
2021-03-18,10339549.000240002,56012.80024000112,2021-03-18,"{""h000300"": 2000}",rsi_strategy
2021-03-19,10070194.200240001,56012.80024000112,2021-03-19,"{""h000300"": 2000}",rsi_strategy
2021-03-22,10170316.80024,56012.80024000112,2021-03-22,"{""h000300"": 2000}",rsi_strategy
2021-03-23,10074504.60024,56012.80024000112,2021-03-23,"{""h000300"": 2000}",rsi_strategy
2021-03-24,9913383.40024,56012.80024000112,2021-03-24,"{""h000300"": 2000}",rsi_strategy
2021-03-25,9908706.60024,56012.80024000112,2021-03-25,"{""h000300"": 2000}",rsi_strategy
2021-03-26,10131992.60024,56012.80024000112,2021-03-26,"{""h000300"": 2000}",rsi_strategy
2021-03-29,10149767.40024,56012.80024000112,2021-03-29,"{""h000300"": 2000}",rsi_strategy
2021-03-30,10245471.00024,56012.80024000112,2021-03-30,"{""h000300"": 2000}",rsi_strategy
2021-03-31,10152734.200240001,56012.80024000112,2021-03-31,"{""h000300"": 2000}",rsi_strategy
2021-04-01,10277566.40024,56012.80024000112,2021-04-01,"{""h000300"": 2000}",rsi_strategy
2021-04-02,10379126.60024,56012.80024000112,2021-04-02,"{""h000300"": 2000}",rsi_strategy
2021-04-06,10336696.40024,56012.80024000112,2021-04-06,"{""h000300"": 2000}",rsi_strategy
2021-04-07,10263498.40024,56012.80024000112,2021-04-07,"{""h000300"": 2000}",rsi_strategy
2021-04-08,10280430.00024,56012.80024000112,2021-04-08,"{""h000300"": 2000}",rsi_strategy
2021-04-09,10126687.600240001,56012.80024000112,2021-04-09,"{""h000300"": 2000}",rsi_strategy
2021-04-12,9951504.60024,56012.80024000112,2021-04-12,"{""h000300"": 2000}",rsi_strategy
2021-04-13,9935300.40024,56012.80024000112,2021-04-13,"{""h000300"": 2000}",rsi_strategy
2021-04-14,10017268.600240001,56012.80024000112,2021-04-14,"{""h000300"": 2000}",rsi_strategy
2021-04-15,9953961.000240002,56012.80024000112,2021-04-15,"{""h000300"": 2000}",rsi_strategy
2021-04-16,9988375.00024,56012.80024000112,2021-04-16,"{""h000300"": 2000}",rsi_strategy
2021-04-19,10230045.80024,56012.80024000112,2021-04-19,"{""h000300"": 2000}",rsi_strategy
2021-04-20,10222743.60024,56012.80024000112,2021-04-20,"{""h000300"": 2000}",rsi_strategy
2021-04-21,10253502.60024,56012.80024000112,2021-04-21,"{""h000300"": 2000}",rsi_strategy
2021-04-22,10234499.80024,56012.80024000112,2021-04-22,"{""h000300"": 2000}",rsi_strategy
2021-04-23,10326919.600240001,56012.80024000112,2021-04-23,"{""h000300"": 2000}",rsi_strategy
2021-04-26,10210487.20024,56012.80024000112,2021-04-26,"{""h000300"": 2000}",rsi_strategy
2021-04-27,10237051.80024,56012.80024000112,2021-04-27,"{""h000300"": 2000}",rsi_strategy
2021-04-28,10294497.000240002,56012.80024000112,2021-04-28,"{""h000300"": 2000}",rsi_strategy
2021-04-29,10384351.200240001,56012.80024000112,2021-04-29,"{""h000300"": 2000}",rsi_strategy
2021-04-30,10302990.80024,56012.80024000112,2021-04-30,"{""h000300"": 2000}",rsi_strategy
2021-05-06,10178261.60024,56012.80024000112,2021-05-06,"{""h000300"": 2000}",rsi_strategy
2021-05-07,10048118.200240001,56012.80024000112,2021-05-07,"{""h000300"": 2000}",rsi_strategy
2021-05-10,10040856.80024,56012.80024000112,2021-05-10,"{""h000300"": 2000}",rsi_strategy
2021-05-11,10102131.80024,56012.80024000112,2021-05-11,"{""h000300"": 2000}",rsi_strategy
2021-05-12,10145109.00024,56012.80024000112,2021-05-12,"{""h000300"": 2000}",rsi_strategy
2021-05-13,10041960.40024,56012.80024000112,2021-05-13,"{""h000300"": 2000}",rsi_strategy
2021-05-14,10277193.000240002,56012.80024000112,2021-05-14,"{""h000300"": 2000}",rsi_strategy
2021-05-17,10425983.400240002,56012.80024000112,2021-05-17,"{""h000300"": 2000}",rsi_strategy
2021-05-18,10431215.40024,56012.80024000112,2021-05-18,"{""h000300"": 2000}",rsi_strategy
2021-05-19,10400556.80024,56012.80024000112,2021-05-19,"{""h000300"": 2000}",rsi_strategy
2021-05-20,10428836.80024,56012.80024000112,2021-05-20,"{""h000300"": 2000}",rsi_strategy
2021-05-21,10324309.40024,56012.80024000112,2021-05-21,"{""h000300"": 2000}",rsi_strategy
2021-05-24,10367187.80024,56012.80024000112,2021-05-24,"{""h000300"": 2000}",rsi_strategy
2021-05-25,10692968.80024,56012.80024000112,2021-05-25,"{""h000300"": 2000}",rsi_strategy
