,value,cash,date,position,strategy_name
2021-02-24,10000000.0,10000000.0,2021-02-24,{},twoma_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},twoma_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},twoma_strategy
2021-03-01,10000000.0,10000000.0,2021-03-01,{},twoma_strategy
2021-03-02,10000000.0,10000000.0,2021-03-02,{},twoma_strategy
2021-03-03,9998042.57461,210915.62461000076,2021-03-03,"{""h000905"": 1500}",twoma_strategy
2021-03-04,9813903.17461,210915.62461000076,2021-03-04,"{""h000905"": 1500}",twoma_strategy
2021-03-05,9816160.22461,210915.62461000076,2021-03-05,"{""h000905"": 1500}",twoma_strategy
2021-03-08,9595529.424610002,210915.62461000076,2021-03-08,"{""h000905"": 1500}",twoma_strategy
2021-03-09,9372919.674610002,210915.62461000076,2021-03-09,"{""h000905"": 1500}",twoma_strategy
2021-03-10,9304298.42461,210915.62461000076,2021-03-10,"{""h000905"": 1500}",twoma_strategy
2021-03-11,9531663.47461,210915.62461000076,2021-03-11,"{""h000905"": 1500}",twoma_strategy
2021-03-12,9544485.92461,210915.62461000076,2021-03-12,"{""h000905"": 1500}",twoma_strategy
2021-03-15,9471723.77461,210915.62461000076,2021-03-15,"{""h000905"": 1500}",twoma_strategy
2021-03-16,9503781.324610002,210915.62461000076,2021-03-16,"{""h000905"": 1500}",twoma_strategy
2021-03-17,9548953.82461,210915.62461000076,2021-03-17,"{""h000905"": 1500}",twoma_strategy
2021-03-18,9621699.024610002,210915.62461000076,2021-03-18,"{""h000905"": 1500}",twoma_strategy
2021-03-19,9520819.07461,210915.62461000076,2021-03-19,"{""h000905"": 1500}",twoma_strategy
2021-03-22,9661886.64433,9661886.64433,2021-03-22,{},twoma_strategy
2021-03-23,9661886.64433,9661886.64433,2021-03-23,{},twoma_strategy
2021-03-24,9661886.64433,9661886.64433,2021-03-24,{},twoma_strategy
2021-03-25,9661886.64433,9661886.64433,2021-03-25,{},twoma_strategy
2021-03-26,9661886.64433,9661886.64433,2021-03-26,{},twoma_strategy
2021-03-29,9660010.16155,277596.2615500001,2021-03-29,"{""h000905"": 1500}",twoma_strategy
2021-03-30,9690598.33075,9690598.33075,2021-03-30,{},twoma_strategy
2021-03-31,9688722.1099,307617.85989999975,2021-03-31,"{""h000905"": 1500}",twoma_strategy
2021-04-01,9775114.4599,307617.85989999975,2021-04-01,"{""h000905"": 1500}",twoma_strategy
2021-04-02,9789934.78282,9789934.78282,2021-04-02,{},twoma_strategy
2021-04-06,9789934.78282,9789934.78282,2021-04-06,{},twoma_strategy
2021-04-07,9789934.78282,9789934.78282,2021-04-07,{},twoma_strategy
2021-04-08,9789934.78282,9789934.78282,2021-04-08,{},twoma_strategy
2021-04-09,9789934.78282,9789934.78282,2021-04-09,{},twoma_strategy
2021-04-12,9789934.78282,9789934.78282,2021-04-12,{},twoma_strategy
2021-04-13,9789934.78282,9789934.78282,2021-04-13,{},twoma_strategy
2021-04-14,9789934.78282,9789934.78282,2021-04-14,{},twoma_strategy
2021-04-15,9788051.844549999,373360.49454999977,2021-04-15,"{""h000905"": 1500}",twoma_strategy
2021-04-16,9882746.39455,373360.49454999977,2021-04-16,"{""h000905"": 1500}",twoma_strategy
2021-04-19,10011251.394549998,373360.49454999977,2021-04-19,"{""h000905"": 1500}",twoma_strategy
2021-04-20,10016172.14455,373360.49454999977,2021-04-20,"{""h000905"": 1500}",twoma_strategy
2021-04-21,9996044.23411,9996044.23411,2021-04-21,{},twoma_strategy
2021-04-22,9996044.23411,9996044.23411,2021-04-22,{},twoma_strategy
2021-04-23,9996044.23411,9996044.23411,2021-04-23,{},twoma_strategy
2021-04-26,9996044.23411,9996044.23411,2021-04-26,{},twoma_strategy
2021-04-27,9996044.23411,9996044.23411,2021-04-27,{},twoma_strategy
2021-04-28,9996044.23411,9996044.23411,2021-04-28,{},twoma_strategy
2021-04-29,9996044.23411,9996044.23411,2021-04-29,{},twoma_strategy
2021-04-30,9996044.23411,9996044.23411,2021-04-30,{},twoma_strategy
2021-05-06,9996044.23411,9996044.23411,2021-05-06,{},twoma_strategy
2021-05-07,9996044.23411,9996044.23411,2021-05-07,{},twoma_strategy
2021-05-10,9996044.23411,9996044.23411,2021-05-10,{},twoma_strategy
2021-05-11,9996044.23411,9996044.23411,2021-05-11,{},twoma_strategy
2021-05-12,9996044.23411,9996044.23411,2021-05-12,{},twoma_strategy
2021-05-13,9996044.23411,9996044.23411,2021-05-13,{},twoma_strategy
2021-05-14,9994086.49303,205381.09302999923,2021-05-14,"{""h000905"": 1500}",twoma_strategy
2021-05-17,10072591.393029999,205381.09302999923,2021-05-17,"{""h000905"": 1500}",twoma_strategy
2021-05-18,10096859.32483,10096859.32483,2021-05-18,{},twoma_strategy
2021-05-19,10096859.32483,10096859.32483,2021-05-19,{},twoma_strategy
2021-05-20,10096859.32483,10096859.32483,2021-05-20,{},twoma_strategy
2021-05-21,10096859.32483,10096859.32483,2021-05-21,{},twoma_strategy
2021-05-24,10096859.32483,10096859.32483,2021-05-24,{},twoma_strategy
2021-05-25,10096859.32483,10096859.32483,2021-05-25,{},twoma_strategy
2021-05-26,10096859.32483,10096859.32483,2021-05-26,{},twoma_strategy
2021-05-27,10096859.32483,10096859.32483,2021-05-27,{},twoma_strategy
2021-05-28,10096859.32483,10096859.32483,2021-05-28,{},twoma_strategy
2021-05-31,10096859.32483,10096859.32483,2021-05-31,{},twoma_strategy
2021-06-01,10096859.32483,10096859.32483,2021-06-01,{},twoma_strategy
2021-06-02,10096859.32483,10096859.32483,2021-06-02,{},twoma_strategy
2021-06-03,10096859.32483,10096859.32483,2021-06-03,{},twoma_strategy
2021-06-04,10096859.32483,10096859.32483,2021-06-04,{},twoma_strategy
2021-06-07,10096859.32483,10096859.32483,2021-06-07,{},twoma_strategy
2021-06-08,10096859.32483,10096859.32483,2021-06-08,{},twoma_strategy
2021-06-09,10096859.32483,10096859.32483,2021-06-09,{},twoma_strategy
2021-06-10,10096859.32483,10096859.32483,2021-06-10,{},twoma_strategy
2021-06-11,10096859.32483,10096859.32483,2021-06-11,{},twoma_strategy
2021-06-15,10096859.32483,10096859.32483,2021-06-15,{},twoma_strategy
2021-06-16,10096859.32483,10096859.32483,2021-06-16,{},twoma_strategy
2021-06-17,10094874.47263,170613.47262999936,2021-06-17,"{""h000905"": 1500}",twoma_strategy
2021-06-18,10157258.72263,170613.47262999936,2021-06-18,"{""h000905"": 1500}",twoma_strategy
2021-06-21,10231377.77263,170613.47262999936,2021-06-21,"{""h000905"": 1500}",twoma_strategy
2021-06-22,10280304.32263,170613.47262999936,2021-06-22,"{""h000905"": 1500}",twoma_strategy
2021-06-23,10355533.07263,170613.47262999936,2021-06-23,"{""h000905"": 1500}",twoma_strategy
2021-06-24,10302912.02263,170613.47262999936,2021-06-24,"{""h000905"": 1500}",twoma_strategy
2021-06-25,10382558.076070001,10382558.076070001,2021-06-25,{},twoma_strategy
2021-06-28,10382558.076070001,10382558.076070001,2021-06-28,{},twoma_strategy
2021-06-29,10382558.076070001,10382558.076070001,2021-06-29,{},twoma_strategy
2021-06-30,10382558.076070001,10382558.076070001,2021-06-30,{},twoma_strategy
2021-07-01,10382558.076070001,10382558.076070001,2021-07-01,{},twoma_strategy
2021-07-02,10382558.076070001,10382558.076070001,2021-07-02,{},twoma_strategy
2021-07-05,10382558.076070001,10382558.076070001,2021-07-05,{},twoma_strategy
2021-07-06,10380545.226580001,316297.77658000024,2021-07-06,"{""h000905"": 1500}",twoma_strategy
2021-07-07,10462495.62658,316297.77658000024,2021-07-07,"{""h000905"": 1500}",twoma_strategy
2021-07-08,10439278.77658,316297.77658000024,2021-07-08,"{""h000905"": 1500}",twoma_strategy
2021-07-09,10523106.12658,316297.77658000024,2021-07-09,"{""h000905"": 1500}",twoma_strategy
2021-07-12,10672870.47658,316297.77658000024,2021-07-12,"{""h000905"": 1500}",twoma_strategy
2021-07-13,10750714.80958,10750714.80958,2021-07-13,{},twoma_strategy
2021-07-14,10750714.80958,10750714.80958,2021-07-14,{},twoma_strategy
2021-07-15,10750714.80958,10750714.80958,2021-07-15,{},twoma_strategy
2021-07-16,10750714.80958,10750714.80958,2021-07-16,{},twoma_strategy
2021-07-19,10750714.80958,10750714.80958,2021-07-19,{},twoma_strategy
2021-07-20,10750714.80958,10750714.80958,2021-07-20,{},twoma_strategy
2021-07-21,10750714.80958,10750714.80958,2021-07-21,{},twoma_strategy
2021-07-22,10750714.80958,10750714.80958,2021-07-22,{},twoma_strategy
2021-07-23,10750714.80958,10750714.80958,2021-07-23,{},twoma_strategy
2021-07-26,10750714.80958,10750714.80958,2021-07-26,{},twoma_strategy
2021-07-27,10750714.80958,10750714.80958,2021-07-27,{},twoma_strategy
2021-07-28,10748595.77454,153420.57454000087,2021-07-28,"{""h000905"": 1600}",twoma_strategy
2021-07-29,10967639.614540001,153420.57454000087,2021-07-29,"{""h000905"": 1600}",twoma_strategy
2021-07-30,10981126.17454,153420.57454000087,2021-07-30,"{""h000905"": 1600}",twoma_strategy
2021-08-02,11148621.214540001,153420.57454000087,2021-08-02,"{""h000905"": 1600}",twoma_strategy
2021-08-03,11059037.69454,153420.57454000087,2021-08-03,"{""h000905"": 1600}",twoma_strategy
2021-08-04,11243558.97454,153420.57454000087,2021-08-04,"{""h000905"": 1600}",twoma_strategy
2021-08-05,11212347.294540001,153420.57454000087,2021-08-05,"{""h000905"": 1600}",twoma_strategy
2021-08-06,11255609.214540001,153420.57454000087,2021-08-06,"{""h000905"": 1600}",twoma_strategy
2021-08-09,11311727.741772,11311727.741772,2021-08-09,{},twoma_strategy
2021-08-10,11311727.741772,11311727.741772,2021-08-10,{},twoma_strategy
2021-08-11,11311727.741772,11311727.741772,2021-08-11,{},twoma_strategy
2021-08-12,11311727.741772,11311727.741772,2021-08-12,{},twoma_strategy
2021-08-13,11311727.741772,11311727.741772,2021-08-13,{},twoma_strategy
2021-08-16,11311727.741772,11311727.741772,2021-08-16,{},twoma_strategy
2021-08-17,11311727.741772,11311727.741772,2021-08-17,{},twoma_strategy
2021-08-18,11311727.741772,11311727.741772,2021-08-18,{},twoma_strategy
2021-08-19,11311727.741772,11311727.741772,2021-08-19,{},twoma_strategy
2021-08-20,11311727.741772,11311727.741772,2021-08-20,{},twoma_strategy
2021-08-23,11309479.881068,70176.36106800019,2021-08-23,"{""h000905"": 1600}",twoma_strategy
2021-08-24,11415427.081068,70176.36106800019,2021-08-24,"{""h000905"": 1600}",twoma_strategy
2021-08-25,11514983.241068,70176.36106800019,2021-08-25,"{""h000905"": 1600}",twoma_strategy
2021-08-26,11460327.081068,70176.36106800019,2021-08-26,"{""h000905"": 1600}",twoma_strategy
2021-08-27,11549159.901804002,11549159.901804002,2021-08-27,{},twoma_strategy
2021-08-30,11549159.901804002,11549159.901804002,2021-08-30,{},twoma_strategy
2021-08-31,11549159.901804002,11549159.901804002,2021-08-31,{},twoma_strategy
2021-09-01,11549159.901804002,11549159.901804002,2021-09-01,{},twoma_strategy
2021-09-02,11549159.901804002,11549159.901804002,2021-09-02,{},twoma_strategy
2021-09-03,11549159.901804002,11549159.901804002,2021-09-03,{},twoma_strategy
2021-09-06,11549159.901804002,11549159.901804002,2021-09-06,{},twoma_strategy
2021-09-07,11549159.901804002,11549159.901804002,2021-09-07,{},twoma_strategy
2021-09-08,11549159.901804002,11549159.901804002,2021-09-08,{},twoma_strategy
2021-09-09,11549159.901804002,11549159.901804002,2021-09-09,{},twoma_strategy
2021-09-10,11549159.901804002,11549159.901804002,2021-09-10,{},twoma_strategy
2021-09-13,11549159.901804002,11549159.901804002,2021-09-13,{},twoma_strategy
2021-09-14,11549159.901804002,11549159.901804002,2021-09-14,{},twoma_strategy
2021-09-15,11549159.901804002,11549159.901804002,2021-09-15,{},twoma_strategy
2021-09-16,11549159.901804002,11549159.901804002,2021-09-16,{},twoma_strategy
2021-09-17,11549159.901804002,11549159.901804002,2021-09-17,{},twoma_strategy
2021-09-22,11549159.901804002,11549159.901804002,2021-09-22,{},twoma_strategy
2021-09-23,11546909.050074002,292650.40007400163,2021-09-23,"{""h000905"": 1500}",twoma_strategy
2021-09-24,11363226.850074,292650.40007400163,2021-09-24,"{""h000905"": 1500}",twoma_strategy
2021-09-27,11048535.250074001,292650.40007400163,2021-09-27,"{""h000905"": 1500}",twoma_strategy
2021-09-28,11090995.300074002,292650.40007400163,2021-09-28,"{""h000905"": 1500}",twoma_strategy
2021-09-29,10807979.200074,292650.40007400163,2021-09-29,"{""h000905"": 1500}",twoma_strategy
2021-09-30,10948061.800074002,292650.40007400163,2021-09-30,"{""h000905"": 1500}",twoma_strategy
2021-10-08,10929653.800074002,292650.40007400163,2021-10-08,"{""h000905"": 1500}",twoma_strategy
2021-10-11,10928351.350074003,292650.40007400163,2021-10-11,"{""h000905"": 1500}",twoma_strategy
2021-10-12,10720935.850074003,292650.40007400163,2021-10-12,"{""h000905"": 1500}",twoma_strategy
2021-10-13,10765042.450074,292650.40007400163,2021-10-13,"{""h000905"": 1500}",twoma_strategy
2021-10-14,10805149.300074002,292650.40007400163,2021-10-14,"{""h000905"": 1500}",twoma_strategy
2021-10-15,10828889.800074002,292650.40007400163,2021-10-15,"{""h000905"": 1500}",twoma_strategy
2021-10-18,10894807.600074,292650.40007400163,2021-10-18,"{""h000905"": 1500}",twoma_strategy
2021-10-19,10973219.500074001,292650.40007400163,2021-10-19,"{""h000905"": 1500}",twoma_strategy
2021-10-20,10970844.250074001,292650.40007400163,2021-10-20,"{""h000905"": 1500}",twoma_strategy
2021-10-21,10931513.795034003,10931513.795034003,2021-10-21,{},twoma_strategy
2021-10-22,10931513.795034003,10931513.795034003,2021-10-22,{},twoma_strategy
2021-10-25,10931513.795034003,10931513.795034003,2021-10-25,{},twoma_strategy
2021-10-26,10931513.795034003,10931513.795034003,2021-10-26,{},twoma_strategy
