,value,cash,date,position,strategy_name
2021-02-22,10000000.0,10000000.0,2021-02-22,{},bulin_strategy
2021-02-23,10000000.0,10000000.0,2021-02-23,{},bulin_strategy
2021-02-24,10000000.0,10000000.0,2021-02-24,{},bulin_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},bulin_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},bulin_strategy
2021-03-01,10000000.0,10000000.0,2021-03-01,{},bulin_strategy
2021-03-02,10000000.0,10000000.0,2021-03-02,{},bulin_strategy
2021-03-03,10000000.0,10000000.0,2021-03-03,{},bulin_strategy
2021-03-04,10000000.0,10000000.0,2021-03-04,{},bulin_strategy
2021-03-05,10000000.0,10000000.0,2021-03-05,{},bulin_strategy
2021-03-08,10000000.0,10000000.0,2021-03-08,{},bulin_strategy
2021-03-09,10000000.0,10000000.0,2021-03-09,{},bulin_strategy
2021-03-10,10000000.0,10000000.0,2021-03-10,{},bulin_strategy
2021-03-11,10000000.0,10000000.0,2021-03-11,{},bulin_strategy
2021-03-12,10000000.0,10000000.0,2021-03-12,{},bulin_strategy
2021-03-15,10000000.0,10000000.0,2021-03-15,{},bulin_strategy
2021-03-16,10000000.0,10000000.0,2021-03-16,{},bulin_strategy
2021-03-17,10000000.0,10000000.0,2021-03-17,{},bulin_strategy
2021-03-18,10000000.0,10000000.0,2021-03-18,{},bulin_strategy
2021-03-19,10000000.0,10000000.0,2021-03-19,{},bulin_strategy
2021-03-22,10000000.0,10000000.0,2021-03-22,{},bulin_strategy
2021-03-23,10000000.0,10000000.0,2021-03-23,{},bulin_strategy
2021-03-24,10000000.0,10000000.0,2021-03-24,{},bulin_strategy
2021-03-25,10000000.0,10000000.0,2021-03-25,{},bulin_strategy
2021-03-26,10000000.0,10000000.0,2021-03-26,{},bulin_strategy
2021-03-29,10000000.0,10000000.0,2021-03-29,{},bulin_strategy
2021-03-30,10000000.0,10000000.0,2021-03-30,{},bulin_strategy
2021-03-31,10000000.0,10000000.0,2021-03-31,{},bulin_strategy
2021-04-01,10000000.0,10000000.0,2021-04-01,{},bulin_strategy
2021-04-05,10000000.0,10000000.0,2021-04-05,{},bulin_strategy
2021-04-06,10000000.0,10000000.0,2021-04-06,{},bulin_strategy
2021-04-07,10000000.0,10000000.0,2021-04-07,{},bulin_strategy
2021-04-08,10000000.0,10000000.0,2021-04-08,{},bulin_strategy
2021-04-09,10000000.0,10000000.0,2021-04-09,{},bulin_strategy
2021-04-12,10000000.0,10000000.0,2021-04-12,{},bulin_strategy
