,value,cash,date,position,strategy_name
2021-02-22,10000000.0,10000000.0,2021-02-22,{},twoma_strategy
2021-02-23,10000000.0,10000000.0,2021-02-23,{},twoma_strategy
2021-02-24,10000000.0,10000000.0,2021-02-24,{},twoma_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},twoma_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},twoma_strategy
2021-03-01,9998107.869414063,537454.9397265625,2021-03-01,"{""hDJI"": 300}",twoma_strategy
2021-03-02,9954910.799101563,537454.9397265625,2021-03-02,"{""hDJI"": 300}",twoma_strategy
2021-03-03,9918481.892851563,537454.9397265625,2021-03-03,"{""hDJI"": 300}",twoma_strategy
2021-03-04,9814697.127226563,537454.9397265625,2021-03-04,"{""hDJI"": 300}",twoma_strategy
2021-03-05,9986345.174101563,537454.9397265625,2021-03-05,"{""hDJI"": 300}",twoma_strategy
2021-03-08,10078186.775664063,537454.9397265625,2021-03-08,"{""hDJI"": 300}",twoma_strategy
2021-03-09,10087277.010039063,537454.9397265625,2021-03-09,"{""hDJI"": 300}",twoma_strategy
2021-03-10,10226560.799101563,537454.9397265625,2021-03-10,"{""hDJI"": 300}",twoma_strategy
2021-03-11,10275335.351289064,10275335.351289064,2021-03-11,{},twoma_strategy
2021-03-12,10275335.351289064,10275335.351289064,2021-03-12,{},twoma_strategy
2021-03-15,10275335.351289064,10275335.351289064,2021-03-15,{},twoma_strategy
2021-03-16,10275335.351289064,10275335.351289064,2021-03-16,{},twoma_strategy
2021-03-17,10275335.351289064,10275335.351289064,2021-03-17,{},twoma_strategy
2021-03-18,10275335.351289064,10275335.351289064,2021-03-18,{},twoma_strategy
2021-03-19,10275335.351289064,10275335.351289064,2021-03-19,{},twoma_strategy
2021-03-22,10275335.351289064,10275335.351289064,2021-03-22,{},twoma_strategy
2021-03-23,10275335.351289064,10275335.351289064,2021-03-23,{},twoma_strategy
2021-03-24,10275335.351289064,10275335.351289064,2021-03-24,{},twoma_strategy
2021-03-25,10275335.351289064,10275335.351289064,2021-03-25,{},twoma_strategy
2021-03-26,10273350.978554688,351487.3066796887,2021-03-26,"{""hDJI"": 300}",twoma_strategy
2021-03-29,10302898.634804688,351487.3066796887,2021-03-29,"{""hDJI"": 300}",twoma_strategy
2021-03-30,10271575.587929688,351487.3066796887,2021-03-30,"{""hDJI"": 300}",twoma_strategy
2021-03-31,10245952.541054688,351487.3066796887,2021-03-31,"{""hDJI"": 300}",twoma_strategy
2021-04-01,10289493.817304688,10289493.817304688,2021-04-01,{},twoma_strategy
2021-04-05,10289493.817304688,10289493.817304688,2021-04-05,{},twoma_strategy
2021-04-06,10289493.817304688,10289493.817304688,2021-04-06,{},twoma_strategy
2021-04-07,10289493.817304688,10289493.817304688,2021-04-07,{},twoma_strategy
2021-04-08,10289493.817304688,10289493.817304688,2021-04-08,{},twoma_strategy
2021-04-09,10289493.817304688,10289493.817304688,2021-04-09,{},twoma_strategy
2021-04-12,10289493.817304688,10289493.817304688,2021-04-12,{},twoma_strategy
2021-04-13,10289493.817304688,10289493.817304688,2021-04-13,{},twoma_strategy
2021-04-14,10289493.817304688,10289493.817304688,2021-04-14,{},twoma_strategy
2021-04-15,10289493.817304688,10289493.817304688,2021-04-15,{},twoma_strategy
2021-04-16,10289493.817304688,10289493.817304688,2021-04-16,{},twoma_strategy
2021-04-19,10289493.817304688,10289493.817304688,2021-04-19,{},twoma_strategy
2021-04-20,10289493.817304688,10289493.817304688,2021-04-20,{},twoma_strategy
2021-04-21,10289493.817304688,10289493.817304688,2021-04-21,{},twoma_strategy
2021-04-22,10289493.817304688,10289493.817304688,2021-04-22,{},twoma_strategy
2021-04-23,10289493.817304688,10289493.817304688,2021-04-23,{},twoma_strategy
2021-04-26,10289493.817304688,10289493.817304688,2021-04-26,{},twoma_strategy
2021-04-27,10289493.817304688,10289493.817304688,2021-04-27,{},twoma_strategy
2021-04-28,10289493.817304688,10289493.817304688,2021-04-28,{},twoma_strategy
2021-04-29,10287450.195742188,69342.38324218757,2021-04-29,"{""hDJI"": 300}",twoma_strategy
2021-04-30,10231797.851992188,69342.38324218757,2021-04-30,"{""hDJI"": 300}",twoma_strategy
2021-05-03,10303311.523867188,69342.38324218757,2021-05-03,"{""hDJI"": 300}",twoma_strategy
2021-05-04,10309251.758242188,69342.38324218757,2021-05-04,"{""hDJI"": 300}",twoma_strategy
2021-05-05,10330229.054804688,10330229.054804688,2021-05-05,{},twoma_strategy
2021-05-06,10330229.054804688,10330229.054804688,2021-05-06,{},twoma_strategy
2021-05-07,10330229.054804688,10330229.054804688,2021-05-07,{},twoma_strategy
2021-05-10,10330229.054804688,10330229.054804688,2021-05-10,{},twoma_strategy
2021-05-11,10330229.054804688,10330229.054804688,2021-05-11,{},twoma_strategy
2021-05-12,10330229.054804688,10330229.054804688,2021-05-12,{},twoma_strategy
2021-05-13,10330229.054804688,10330229.054804688,2021-05-13,{},twoma_strategy
2021-05-14,10330229.054804688,10330229.054804688,2021-05-14,{},twoma_strategy
2021-05-17,10330229.054804688,10330229.054804688,2021-05-17,{},twoma_strategy
2021-05-18,10328185.415195314,109987.36832031333,2021-05-18,"{""hDJI"": 300}",twoma_strategy
2021-05-19,10278799.087070314,109987.36832031333,2021-05-19,"{""hDJI"": 300}",twoma_strategy
2021-05-20,10335231.899570314,109987.36832031333,2021-05-20,"{""hDJI"": 300}",twoma_strategy
2021-05-21,10372339.321445314,109987.36832031333,2021-05-21,"{""hDJI"": 300}",twoma_strategy
2021-05-24,10428181.508945314,109987.36832031333,2021-05-24,"{""hDJI"": 300}",twoma_strategy
2021-05-25,10403725.649570314,109987.36832031333,2021-05-25,"{""hDJI"": 300}",twoma_strategy
2021-05-26,10398665.070507815,10398665.070507815,2021-05-26,{},twoma_strategy
2021-05-27,10398665.070507815,10398665.070507815,2021-05-27,{},twoma_strategy
2021-05-28,10398665.070507815,10398665.070507815,2021-05-28,{},twoma_strategy
2021-06-01,10398665.070507815,10398665.070507815,2021-06-01,{},twoma_strategy
2021-06-02,10398665.070507815,10398665.070507815,2021-06-02,{},twoma_strategy
2021-06-03,10398665.070507815,10398665.070507815,2021-06-03,{},twoma_strategy
2021-06-04,10398665.070507815,10398665.070507815,2021-06-04,{},twoma_strategy
2021-06-07,10398665.070507815,10398665.070507815,2021-06-07,{},twoma_strategy
2021-06-08,10398665.070507815,10398665.070507815,2021-06-08,{},twoma_strategy
2021-06-09,10398665.070507815,10398665.070507815,2021-06-09,{},twoma_strategy
2021-06-10,10398665.070507815,10398665.070507815,2021-06-10,{},twoma_strategy
2021-06-11,10398665.070507815,10398665.070507815,2021-06-11,{},twoma_strategy
2021-06-14,10398665.070507815,10398665.070507815,2021-06-14,{},twoma_strategy
2021-06-15,10396607.110820316,106808.67332031511,2021-06-15,"{""hDJI"": 300}",twoma_strategy
