,value,cash,date,position,strategy_name
2021-02-22,10000000.0,10000000.0,2021-02-22,{},rsi_strategy
2021-02-23,10000000.0,10000000.0,2021-02-23,{},rsi_strategy
2021-02-24,10000000.0,10000000.0,2021-02-24,{},rsi_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},rsi_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},rsi_strategy
2021-03-01,10000000.0,10000000.0,2021-03-01,{},rsi_strategy
2021-03-02,10000000.0,10000000.0,2021-03-02,{},rsi_strategy
2021-03-03,10000000.0,10000000.0,2021-03-03,{},rsi_strategy
2021-03-04,10000000.0,10000000.0,2021-03-04,{},rsi_strategy
2021-03-05,10000000.0,10000000.0,2021-03-05,{},rsi_strategy
2021-03-08,10000000.0,10000000.0,2021-03-08,{},rsi_strategy
2021-03-09,10000000.0,10000000.0,2021-03-09,{},rsi_strategy
2021-03-10,10000000.0,10000000.0,2021-03-10,{},rsi_strategy
2021-03-11,10000000.0,10000000.0,2021-03-11,{},rsi_strategy
2021-03-12,10000000.0,10000000.0,2021-03-12,{},rsi_strategy
2021-03-15,10000000.0,10000000.0,2021-03-15,{},rsi_strategy
2021-03-16,10000000.0,10000000.0,2021-03-16,{},rsi_strategy
2021-03-17,10000000.0,10000000.0,2021-03-17,{},rsi_strategy
2021-03-18,10000000.0,10000000.0,2021-03-18,{},rsi_strategy
2021-03-19,10000000.0,10000000.0,2021-03-19,{},rsi_strategy
2021-03-22,10000000.0,10000000.0,2021-03-22,{},rsi_strategy
2021-03-23,10000000.0,10000000.0,2021-03-23,{},rsi_strategy
2021-03-24,10000000.0,10000000.0,2021-03-24,{},rsi_strategy
2021-03-25,10000000.0,10000000.0,2021-03-25,{},rsi_strategy
2021-03-26,10000000.0,10000000.0,2021-03-26,{},rsi_strategy
2021-03-29,10000000.0,10000000.0,2021-03-29,{},rsi_strategy
2021-03-30,10000000.0,10000000.0,2021-03-30,{},rsi_strategy
2021-03-31,10000000.0,10000000.0,2021-03-31,{},rsi_strategy
2021-04-01,10000000.0,10000000.0,2021-04-01,{},rsi_strategy
2021-04-05,10000000.0,10000000.0,2021-04-05,{},rsi_strategy
2021-04-06,10000000.0,10000000.0,2021-04-06,{},rsi_strategy
2021-04-07,10000000.0,10000000.0,2021-04-07,{},rsi_strategy
2021-04-08,10000000.0,10000000.0,2021-04-08,{},rsi_strategy
2021-04-09,10000000.0,10000000.0,2021-04-09,{},rsi_strategy
2021-04-12,10000000.0,10000000.0,2021-04-12,{},rsi_strategy
2021-04-13,10000000.0,10000000.0,2021-04-13,{},rsi_strategy
2021-04-14,10000000.0,10000000.0,2021-04-14,{},rsi_strategy
2021-04-15,10000000.0,10000000.0,2021-04-15,{},rsi_strategy
2021-04-16,10000000.0,10000000.0,2021-04-16,{},rsi_strategy
2021-04-19,10000000.0,10000000.0,2021-04-19,{},rsi_strategy
2021-04-20,10000000.0,10000000.0,2021-04-20,{},rsi_strategy
2021-04-21,10000000.0,10000000.0,2021-04-21,{},rsi_strategy
2021-04-22,10000000.0,10000000.0,2021-04-22,{},rsi_strategy
2021-04-23,10000000.0,10000000.0,2021-04-23,{},rsi_strategy
2021-04-26,10000000.0,10000000.0,2021-04-26,{},rsi_strategy
2021-04-27,10000000.0,10000000.0,2021-04-27,{},rsi_strategy
2021-04-28,10000000.0,10000000.0,2021-04-28,{},rsi_strategy
2021-04-29,10000000.0,10000000.0,2021-04-29,{},rsi_strategy
2021-04-30,10000000.0,10000000.0,2021-04-30,{},rsi_strategy
2021-05-03,10000000.0,10000000.0,2021-05-03,{},rsi_strategy
2021-05-04,10000000.0,10000000.0,2021-05-04,{},rsi_strategy
2021-05-05,10000000.0,10000000.0,2021-05-05,{},rsi_strategy
2021-05-06,10000000.0,10000000.0,2021-05-06,{},rsi_strategy
2021-05-07,10000000.0,10000000.0,2021-05-07,{},rsi_strategy
2021-05-10,10000000.0,10000000.0,2021-05-10,{},rsi_strategy
2021-05-11,10000000.0,10000000.0,2021-05-11,{},rsi_strategy
2021-05-12,10000000.0,10000000.0,2021-05-12,{},rsi_strategy
2021-05-13,10000000.0,10000000.0,2021-05-13,{},rsi_strategy
2021-05-14,10000000.0,10000000.0,2021-05-14,{},rsi_strategy
2021-05-17,10000000.0,10000000.0,2021-05-17,{},rsi_strategy
2021-05-18,10000000.0,10000000.0,2021-05-18,{},rsi_strategy
2021-05-19,10000000.0,10000000.0,2021-05-19,{},rsi_strategy
2021-05-20,10000000.0,10000000.0,2021-05-20,{},rsi_strategy
2021-05-21,10000000.0,10000000.0,2021-05-21,{},rsi_strategy
2021-05-24,10000000.0,10000000.0,2021-05-24,{},rsi_strategy
2021-05-25,10000000.0,10000000.0,2021-05-25,{},rsi_strategy
2021-05-26,10000000.0,10000000.0,2021-05-26,{},rsi_strategy
2021-05-27,10000000.0,10000000.0,2021-05-27,{},rsi_strategy
2021-05-28,10000000.0,10000000.0,2021-05-28,{},rsi_strategy
2021-06-01,10000000.0,10000000.0,2021-06-01,{},rsi_strategy
2021-06-02,10000000.0,10000000.0,2021-06-02,{},rsi_strategy
2021-06-03,10000000.0,10000000.0,2021-06-03,{},rsi_strategy
2021-06-04,10000000.0,10000000.0,2021-06-04,{},rsi_strategy
2021-06-07,10000000.0,10000000.0,2021-06-07,{},rsi_strategy
2021-06-08,10000000.0,10000000.0,2021-06-08,{},rsi_strategy
2021-06-09,10000000.0,10000000.0,2021-06-09,{},rsi_strategy
2021-06-10,10000000.0,10000000.0,2021-06-10,{},rsi_strategy
2021-06-11,10000000.0,10000000.0,2021-06-11,{},rsi_strategy
2021-06-14,10000000.0,10000000.0,2021-06-14,{},rsi_strategy
2021-06-15,10000000.0,10000000.0,2021-06-15,{},rsi_strategy
2021-06-16,10000000.0,10000000.0,2021-06-16,{},rsi_strategy
2021-06-17,10000000.0,10000000.0,2021-06-17,{},rsi_strategy
2021-06-18,9998002.5953125,10979.1578125,2021-06-18,"{""hDJI"": 300}",rsi_strategy
2021-06-21,10174069.7828125,10979.1578125,2021-06-21,"{""hDJI"": 300}",rsi_strategy
2021-06-22,10194652.5953125,10979.1578125,2021-06-22,"{""hDJI"": 300}",rsi_strategy
2021-06-23,10173250.6421875,10979.1578125,2021-06-23,"{""hDJI"": 300}",rsi_strategy
2021-06-24,10270025.2515625,10979.1578125,2021-06-24,"{""hDJI"": 300}",rsi_strategy
2021-06-25,10341131.1109375,10979.1578125,2021-06-25,"{""hDJI"": 300}",rsi_strategy
2021-06-28,10295960.0171875,10979.1578125,2021-06-28,"{""hDJI"": 300}",rsi_strategy
2021-06-29,10298665.8765625,10979.1578125,2021-06-29,"{""hDJI"": 300}",rsi_strategy
2021-06-30,10361732.6734375,10979.1578125,2021-06-30,"{""hDJI"": 300}",rsi_strategy
2021-07-01,10401038.5328125,10979.1578125,2021-07-01,"{""hDJI"": 300}",rsi_strategy
2021-07-02,10446884.6265625,10979.1578125,2021-07-02,"{""hDJI"": 300}",rsi_strategy
2021-07-06,10384190.4859375,10979.1578125,2021-07-06,"{""hDJI"": 300}",rsi_strategy
2021-07-07,10415515.8765625,10979.1578125,2021-07-07,"{""hDJI"": 300}",rsi_strategy
2021-07-08,10337558.0640625,10979.1578125,2021-07-08,"{""hDJI"": 300}",rsi_strategy
2021-07-09,10472027.2046875,10979.1578125,2021-07-09,"{""hDJI"": 300}",rsi_strategy
2021-07-12,10501433.9809375,10501433.9809375,2021-07-12,{},rsi_strategy
2021-07-13,10501433.9809375,10501433.9809375,2021-07-13,{},rsi_strategy
2021-07-14,10501433.9809375,10501433.9809375,2021-07-14,{},rsi_strategy
2021-07-15,10501433.9809375,10501433.9809375,2021-07-15,{},rsi_strategy
2021-07-16,10501433.9809375,10501433.9809375,2021-07-16,{},rsi_strategy
2021-07-19,10501433.9809375,10501433.9809375,2021-07-19,{},rsi_strategy
2021-07-20,10501433.9809375,10501433.9809375,2021-07-20,{},rsi_strategy
2021-07-21,10501433.9809375,10501433.9809375,2021-07-21,{},rsi_strategy
2021-07-22,10501433.9809375,10501433.9809375,2021-07-22,{},rsi_strategy
2021-07-23,10501433.9809375,10501433.9809375,2021-07-23,{},rsi_strategy
2021-07-26,10501433.9809375,10501433.9809375,2021-07-26,{},rsi_strategy
2021-07-27,10501433.9809375,10501433.9809375,2021-07-27,{},rsi_strategy
2021-07-28,10501433.9809375,10501433.9809375,2021-07-28,{},rsi_strategy
2021-07-29,10501433.9809375,10501433.9809375,2021-07-29,{},rsi_strategy
2021-07-30,10501433.9809375,10501433.9809375,2021-07-30,{},rsi_strategy
2021-08-02,10501433.9809375,10501433.9809375,2021-08-02,{},rsi_strategy
2021-08-03,10501433.9809375,10501433.9809375,2021-08-03,{},rsi_strategy
2021-08-04,10501433.9809375,10501433.9809375,2021-08-04,{},rsi_strategy
2021-08-05,10501433.9809375,10501433.9809375,2021-08-05,{},rsi_strategy
2021-08-06,10501433.9809375,10501433.9809375,2021-08-06,{},rsi_strategy
2021-08-09,10501433.9809375,10501433.9809375,2021-08-09,{},rsi_strategy
2021-08-10,10501433.9809375,10501433.9809375,2021-08-10,{},rsi_strategy
2021-08-11,10501433.9809375,10501433.9809375,2021-08-11,{},rsi_strategy
2021-08-12,10501433.9809375,10501433.9809375,2021-08-12,{},rsi_strategy
2021-08-13,10501433.9809375,10501433.9809375,2021-08-13,{},rsi_strategy
2021-08-16,10501433.9809375,10501433.9809375,2021-08-16,{},rsi_strategy
2021-08-17,10501433.9809375,10501433.9809375,2021-08-17,{},rsi_strategy
2021-08-18,10501433.9809375,10501433.9809375,2021-08-18,{},rsi_strategy
2021-08-19,10501433.9809375,10501433.9809375,2021-08-19,{},rsi_strategy
2021-08-20,10501433.9809375,10501433.9809375,2021-08-20,{},rsi_strategy
2021-08-23,10501433.9809375,10501433.9809375,2021-08-23,{},rsi_strategy
2021-08-24,10501433.9809375,10501433.9809375,2021-08-24,{},rsi_strategy
2021-08-25,10501433.9809375,10501433.9809375,2021-08-25,{},rsi_strategy
2021-08-26,10501433.9809375,10501433.9809375,2021-08-26,{},rsi_strategy
2021-08-27,10501433.9809375,10501433.9809375,2021-08-27,{},rsi_strategy
2021-08-30,10501433.9809375,10501433.9809375,2021-08-30,{},rsi_strategy
2021-08-31,10501433.9809375,10501433.9809375,2021-08-31,{},rsi_strategy
2021-09-01,10501433.9809375,10501433.9809375,2021-09-01,{},rsi_strategy
2021-09-02,10501433.9809375,10501433.9809375,2021-09-02,{},rsi_strategy
2021-09-03,10501433.9809375,10501433.9809375,2021-09-03,{},rsi_strategy
2021-09-07,10501433.9809375,10501433.9809375,2021-09-07,{},rsi_strategy
2021-09-08,10501433.9809375,10501433.9809375,2021-09-08,{},rsi_strategy
2021-09-09,10501433.9809375,10501433.9809375,2021-09-09,{},rsi_strategy
2021-09-10,10501433.9809375,10501433.9809375,2021-09-10,{},rsi_strategy
2021-09-13,10501433.9809375,10501433.9809375,2021-09-13,{},rsi_strategy
2021-09-14,10501433.9809375,10501433.9809375,2021-09-14,{},rsi_strategy
2021-09-15,10501433.9809375,10501433.9809375,2021-09-15,{},rsi_strategy
2021-09-16,10501433.9809375,10501433.9809375,2021-09-16,{},rsi_strategy
2021-09-17,10501433.9809375,10501433.9809375,2021-09-17,{},rsi_strategy
2021-09-20,10499395.7528125,308255.12781249953,2021-09-20,"{""hDJI"": 300}",rsi_strategy
2021-09-21,10484207.0809375,308255.12781249953,2021-09-21,"{""hDJI"": 300}",rsi_strategy
2021-09-22,10585751.2215625,308255.12781249953,2021-09-22,"{""hDJI"": 300}",rsi_strategy
2021-09-23,10737701.2215625,308255.12781249953,2021-09-23,"{""hDJI"": 300}",rsi_strategy
2021-09-24,10747655.1278125,308255.12781249953,2021-09-24,"{""hDJI"": 300}",rsi_strategy
2021-09-27,10769066.4559375,308255.12781249953,2021-09-27,"{""hDJI"": 300}",rsi_strategy
2021-09-28,10598251.6121875,308255.12781249953,2021-09-28,"{""hDJI"": 300}",rsi_strategy
2021-09-29,10625470.7528125,308255.12781249953,2021-09-29,"{""hDJI"": 300}",rsi_strategy
2021-09-30,10461431.6903125,308255.12781249953,2021-09-30,"{""hDJI"": 300}",rsi_strategy
2021-10-01,10606193.4090625,308255.12781249953,2021-10-01,"{""hDJI"": 300}",rsi_strategy
2021-10-04,10509131.6903125,308255.12781249953,2021-10-04,"{""hDJI"": 300}",rsi_strategy
2021-10-05,10602656.6903125,308255.12781249953,2021-10-05,"{""hDJI"": 300}",rsi_strategy
2021-10-06,10633351.6121875,308255.12781249953,2021-10-06,"{""hDJI"": 300}",rsi_strategy
2021-10-07,10734737.5496875,308255.12781249953,2021-10-07,"{""hDJI"": 300}",rsi_strategy
2021-10-08,10732130.1278125,308255.12781249953,2021-10-08,"{""hDJI"": 300}",rsi_strategy
2021-10-11,10657072.7059375,308255.12781249953,2021-10-11,"{""hDJI"": 300}",rsi_strategy
2021-10-12,10621757.0809375,308255.12781249953,2021-10-12,"{""hDJI"": 300}",rsi_strategy
2021-10-13,10621597.7059375,308255.12781249953,2021-10-13,"{""hDJI"": 300}",rsi_strategy
2021-10-14,10782022.7059375,308255.12781249953,2021-10-14,"{""hDJI"": 300}",rsi_strategy
2021-10-15,10896683.6434375,308255.12781249953,2021-10-15,"{""hDJI"": 300}",rsi_strategy
2021-10-18,10885837.9403125,308255.12781249953,2021-10-18,"{""hDJI"": 300}",rsi_strategy
2021-10-19,10945447.7059375,308255.12781249953,2021-10-19,"{""hDJI"": 300}",rsi_strategy
2021-10-20,10991057.0809375,308255.12781249953,2021-10-20,"{""hDJI"": 300}",rsi_strategy
2021-10-21,10980633.8265625,10980633.8265625,2021-10-21,{},rsi_strategy
2021-10-22,10980633.8265625,10980633.8265625,2021-10-22,{},rsi_strategy
2021-10-25,10980633.8265625,10980633.8265625,2021-10-25,{},rsi_strategy
2021-10-26,10980633.8265625,10980633.8265625,2021-10-26,{},rsi_strategy
2021-10-27,10980633.8265625,10980633.8265625,2021-10-27,{},rsi_strategy
2021-10-28,10980633.8265625,10980633.8265625,2021-10-28,{},rsi_strategy
2021-10-29,10980633.8265625,10980633.8265625,2021-10-29,{},rsi_strategy
2021-11-01,10980633.8265625,10980633.8265625,2021-11-01,{},rsi_strategy
2021-11-02,10980633.8265625,10980633.8265625,2021-11-02,{},rsi_strategy
2021-11-03,10980633.8265625,10980633.8265625,2021-11-03,{},rsi_strategy
2021-11-04,10980633.8265625,10980633.8265625,2021-11-04,{},rsi_strategy
2021-11-05,10980633.8265625,10980633.8265625,2021-11-05,{},rsi_strategy
2021-11-08,10980633.8265625,10980633.8265625,2021-11-08,{},rsi_strategy
2021-11-09,10980633.8265625,10980633.8265625,2021-11-09,{},rsi_strategy
2021-11-10,10980633.8265625,10980633.8265625,2021-11-10,{},rsi_strategy
2021-11-11,10980633.8265625,10980633.8265625,2021-11-11,{},rsi_strategy
2021-11-12,10980633.8265625,10980633.8265625,2021-11-12,{},rsi_strategy
2021-11-15,10980633.8265625,10980633.8265625,2021-11-15,{},rsi_strategy
2021-11-16,10980633.8265625,10980633.8265625,2021-11-16,{},rsi_strategy
2021-11-17,10980633.8265625,10980633.8265625,2021-11-17,{},rsi_strategy
2021-11-18,10980633.8265625,10980633.8265625,2021-11-18,{},rsi_strategy
2021-11-19,10980633.8265625,10980633.8265625,2021-11-19,{},rsi_strategy
2021-11-22,10980633.8265625,10980633.8265625,2021-11-22,{},rsi_strategy
2021-11-23,10980633.8265625,10980633.8265625,2021-11-23,{},rsi_strategy
2021-11-24,10980633.8265625,10980633.8265625,2021-11-24,{},rsi_strategy
2021-11-26,10980633.8265625,10980633.8265625,2021-11-26,{},rsi_strategy
2021-11-29,10978525.670078125,437743.2482031246,2021-11-29,"{""hDJI"": 300}",rsi_strategy
2021-11-30,10782858.873203125,437743.2482031246,2021-11-30,"{""hDJI"": 300}",rsi_strategy
2021-12-01,10644354.966953125,437743.2482031246,2021-12-01,"{""hDJI"": 300}",rsi_strategy
2021-12-02,10829679.966953125,437743.2482031246,2021-12-02,"{""hDJI"": 300}",rsi_strategy
2021-12-03,10811766.685703125,437743.2482031246,2021-12-03,"{""hDJI"": 300}",rsi_strategy
2021-12-06,11005852.623203125,437743.2482031246,2021-12-06,"{""hDJI"": 300}",rsi_strategy
2021-12-07,11153572.154453125,437743.2482031246,2021-12-07,"{""hDJI"": 300}",rsi_strategy
2021-12-08,11164168.248203125,437743.2482031246,2021-12-08,"{""hDJI"": 300}",rsi_strategy
2021-12-09,11164150.670078125,437743.2482031246,2021-12-09,"{""hDJI"": 300}",rsi_strategy
2021-12-10,11229039.732578125,437743.2482031246,2021-12-10,"{""hDJI"": 300}",rsi_strategy
2021-12-13,11133028.013828125,437743.2482031246,2021-12-13,"{""hDJI"": 300}",rsi_strategy
2021-12-14,11100997.154453125,437743.2482031246,2021-12-14,"{""hDJI"": 300}",rsi_strategy
2021-12-15,11215972.154453125,437743.2482031246,2021-12-15,"{""hDJI"": 300}",rsi_strategy
2021-12-16,11207035.435703125,437743.2482031246,2021-12-16,"{""hDJI"": 300}",rsi_strategy
2021-12-17,11047375.670078125,437743.2482031246,2021-12-17,"{""hDJI"": 300}",rsi_strategy
2021-12-20,10917391.295078125,437743.2482031246,2021-12-20,"{""hDJI"": 300}",rsi_strategy
2021-12-21,11085553.013828125,437743.2482031246,2021-12-21,"{""hDJI"": 300}",rsi_strategy
2021-12-22,11163910.435703125,437743.2482031246,2021-12-22,"{""hDJI"": 300}",rsi_strategy
2021-12-23,11222910.826328125,437743.2482031246,2021-12-23,"{""hDJI"": 300}",rsi_strategy
2021-12-27,11328456.920078125,437743.2482031246,2021-12-27,"{""hDJI"": 300}",rsi_strategy
2021-12-28,11357206.529453125,437743.2482031246,2021-12-28,"{""hDJI"": 300}",rsi_strategy
2021-12-29,11384331.920078125,437743.2482031246,2021-12-29,"{""hDJI"": 300}",rsi_strategy
2021-12-30,11357166.685703125,437743.2482031246,2021-12-30,"{""hDJI"": 300}",rsi_strategy
2021-12-31,11339233.482578125,437743.2482031246,2021-12-31,"{""hDJI"": 300}",rsi_strategy
2022-01-03,11413260.826328125,437743.2482031246,2022-01-03,"{""hDJI"": 300}",rsi_strategy
2022-01-04,11477637.779453125,437743.2482031246,2022-01-04,"{""hDJI"": 300}",rsi_strategy
2022-01-05,11359876.060703125,437743.2482031246,2022-01-05,"{""hDJI"": 300}",rsi_strategy
2022-01-06,11308683.873203125,437743.2482031246,2022-01-06,"{""hDJI"": 300}",rsi_strategy
2022-01-07,11307241.295078125,437743.2482031246,2022-01-07,"{""hDJI"": 300}",rsi_strategy
2022-01-10,11258404.576328125,437743.2482031246,2022-01-10,"{""hDJI"": 300}",rsi_strategy
2022-01-11,11313349.107578125,437743.2482031246,2022-01-11,"{""hDJI"": 300}",rsi_strategy
2022-01-12,11324839.341953125,437743.2482031246,2022-01-12,"{""hDJI"": 300}",rsi_strategy
2022-01-13,11271829.576328125,437743.2482031246,2022-01-13,"{""hDJI"": 300}",rsi_strategy
2022-01-14,11211285.826328125,437743.2482031246,2022-01-14,"{""hDJI"": 300}",rsi_strategy
2022-01-18,11048283.873203125,437743.2482031246,2022-01-18,"{""hDJI"": 300}",rsi_strategy
2022-01-19,10946337.779453125,437743.2482031246,2022-01-19,"{""hDJI"": 300}",rsi_strategy
2022-01-20,10852360.435703125,437743.2482031246,2022-01-20,"{""hDJI"": 300}",rsi_strategy
2022-01-21,10717354.576328125,437743.2482031246,2022-01-21,"{""hDJI"": 300}",rsi_strategy
2022-01-24,10747093.248203125,437743.2482031246,2022-01-24,"{""hDJI"": 300}",rsi_strategy
2022-01-25,10727062.388828125,437743.2482031246,2022-01-25,"{""hDJI"": 300}",rsi_strategy
2022-01-26,10688170.201328125,437743.2482031246,2022-01-26,"{""hDJI"": 300}",rsi_strategy
2022-01-27,10685977.623203125,437743.2482031246,2022-01-27,"{""hDJI"": 300}",rsi_strategy
2022-01-28,10855383.873203125,437743.2482031246,2022-01-28,"{""hDJI"": 300}",rsi_strategy
2022-01-31,10977301.060703125,437743.2482031246,2022-01-31,"{""hDJI"": 300}",rsi_strategy
2022-02-01,11059314.732578125,437743.2482031246,2022-02-01,"{""hDJI"": 300}",rsi_strategy
2022-02-02,11126541.685703125,437743.2482031246,2022-02-02,"{""hDJI"": 300}",rsi_strategy
2022-02-03,10971091.295078125,437743.2482031246,2022-02-03,"{""hDJI"": 300}",rsi_strategy
2022-02-04,10964664.732578125,437743.2482031246,2022-02-04,"{""hDJI"": 300}",rsi_strategy
2022-02-07,10965081.920078125,437743.2482031246,2022-02-07,"{""hDJI"": 300}",rsi_strategy
2022-02-08,11076577.623203125,437743.2482031246,2022-02-08,"{""hDJI"": 300}",rsi_strategy
2022-02-09,11168160.826328125,437743.2482031246,2022-02-09,"{""hDJI"": 300}",rsi_strategy
2022-02-10,11010220.201328125,437743.2482031246,2022-02-10,"{""hDJI"": 300}",rsi_strategy
2022-02-11,10859160.826328125,437743.2482031246,2022-02-11,"{""hDJI"": 300}",rsi_strategy
2022-02-14,10807594.810703125,437743.2482031246,2022-02-14,"{""hDJI"": 300}",rsi_strategy
2022-02-15,10934395.201328125,437743.2482031246,2022-02-15,"{""hDJI"": 300}",rsi_strategy
2022-02-16,10918024.107578125,437743.2482031246,2022-02-16,"{""hDJI"": 300}",rsi_strategy
2022-02-17,10731352.623203125,437743.2482031246,2022-02-17,"{""hDJI"": 300}",rsi_strategy
2022-02-18,10661497.154453125,437743.2482031246,2022-02-18,"{""hDJI"": 300}",rsi_strategy
2022-02-22,10516726.060703125,437743.2482031246,2022-02-22,"{""hDJI"": 300}",rsi_strategy
2022-02-23,10377271.763828125,437743.2482031246,2022-02-23,"{""hDJI"": 300}",rsi_strategy
2022-02-24,10404891.685703125,437743.2482031246,2022-02-24,"{""hDJI"": 300}",rsi_strategy
2022-02-25,10655368.248203125,437743.2482031246,2022-02-25,"{""hDJI"": 300}",rsi_strategy
2022-02-28,10605523.716953125,437743.2482031246,2022-02-28,"{""hDJI"": 300}",rsi_strategy
2022-03-01,10426228.013828125,437743.2482031246,2022-03-01,"{""hDJI"": 300}",rsi_strategy
2022-03-02,10605148.716953125,437743.2482031246,2022-03-02,"{""hDJI"": 300}",rsi_strategy
2022-03-03,10576141.295078125,437743.2482031246,2022-03-03,"{""hDJI"": 300}",rsi_strategy
2022-03-04,10522183.482578125,437743.2482031246,2022-03-04,"{""hDJI"": 300}",rsi_strategy
2022-03-07,10282956.920078125,437743.2482031246,2022-03-07,"{""hDJI"": 300}",rsi_strategy
2022-03-08,10227535.435703125,437743.2482031246,2022-03-08,"{""hDJI"": 300}",rsi_strategy
