value,cash,date,strategy_name,position
10000000.0,10000000.0,2021-02-22,bulin_strategy,{}
10000000.0,10000000.0,2021-02-23,bulin_strategy,{}
10000000.0,10000000.0,2021-02-24,bulin_strategy,{}
10000000.0,10000000.0,2021-02-25,bulin_strategy,{}
10000000.0,10000000.0,2021-02-26,bulin_strategy,{}
10000000.0,10000000.0,2021-03-01,bulin_strategy,{}
10000000.0,10000000.0,2021-03-02,bulin_strategy,{}
10000000.0,10000000.0,2021-03-03,bulin_strategy,{}
10000000.0,10000000.0,2021-03-04,bulin_strategy,{}
9998002.191230468,8958.34357421875,2021-03-05,bulin_strategy,"{""hGSPC"": 2600}"
9944468.597480468,8958.34357421875,2021-03-08,bulin_strategy,"{""hGSPC"": 2600}"
10085102.191230468,8958.34357421875,2021-03-09,bulin_strategy,"{""hGSPC"": 2600}"
10145864.495917968,8958.34357421875,2021-03-10,bulin_strategy,"{""hGSPC"": 2600}"
10251242.572089843,8958.34357421875,2021-03-11,bulin_strategy,"{""hGSPC"": 2600}"
10261642.572089843,8958.34357421875,2021-03-12,bulin_strategy,"{""hGSPC"": 2600}"
10328202.191230468,8958.34357421875,2021-03-15,bulin_strategy,"{""hGSPC"": 2600}"
10312004.242011718,8958.34357421875,2021-03-16,bulin_strategy,"{""hGSPC"": 2600}"
10341670.648261718,8958.34357421875,2021-03-17,bulin_strategy,"{""hGSPC"": 2600}"
10189154.242011718,8958.34357421875,2021-03-18,bulin_strategy,"{""hGSPC"": 2600}"
10183018.597480468,8958.34357421875,2021-03-19,bulin_strategy,"{""hGSPC"": 2600}"
10183018.597480468,8958.343574218452,2021-03-19,bulin_strategy,"{""hGSPC"": 2600}"
10254492.572089843,8958.343574218452,2021-03-22,bulin_strategy,"{""hGSPC"": 2600}"
10176310.394355468,8958.343574218452,2021-03-23,bulin_strategy,"{""hGSPC"": 2600}"
10120722.064277343,8958.343574218452,2021-03-24,bulin_strategy,"{""hGSPC"": 2600}"
10173710.394355468,8958.343574218452,2021-03-25,bulin_strategy,"{""hGSPC"": 2600}"
10342762.445136718,8958.343574218452,2021-03-26,bulin_strategy,"{""hGSPC"": 2600}"
10333792.572089843,8958.343574218452,2021-03-29,bulin_strategy,"{""hGSPC"": 2600}"
10301188.470527343,8958.343574218452,2021-03-30,bulin_strategy,"{""hGSPC"": 2600}"
10338472.064277343,8958.343574218452,2021-03-31,bulin_strategy,"{""hGSPC"": 2600}"
10460620.648261718,8958.343574218452,2021-04-01,bulin_strategy,"{""hGSPC"": 2600}"
10611524.115058593,8958.343574218452,2021-04-05,bulin_strategy,"{""hGSPC"": 2600}"
10592728.396152344,10592728.396152344,2021-04-06,bulin_strategy,{}
10592728.396152344,10592728.396152344,2021-04-06,vwap_strategy,{}
10592728.396152344,10592728.396152344,2021-04-07,vwap_strategy,{}
10592728.396152344,10592728.396152344,2021-04-08,vwap_strategy,{}
10592728.396152344,10592728.396152344,2021-04-09,vwap_strategy,{}
10592728.396152344,10592728.396152344,2021-04-12,vwap_strategy,{}
10592728.396152344,10592728.396152344,2021-04-13,vwap_strategy,{}
10592728.396152344,10592728.396152344,2021-04-14,vwap_strategy,{}
10592728.396152344,10592728.396152344,2021-04-15,vwap_strategy,{}
10592728.396152344,10592728.396152344,2021-04-16,vwap_strategy,{}
10592728.396152344,10592728.396152344,2021-04-19,vwap_strategy,{}
10592728.396152344,10592728.396152344,2021-04-20,vwap_strategy,{}
