,value,cash,date,position,strategy_name
2021-02-22,10000000.0,10000000.0,2021-02-22,{},bulin_strategy
2021-02-23,10000000.0,10000000.0,2021-02-23,{},bulin_strategy
2021-02-24,10000000.0,10000000.0,2021-02-24,{},bulin_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},bulin_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},bulin_strategy
2021-03-01,10000000.0,10000000.0,2021-03-01,{},bulin_strategy
2021-03-02,10000000.0,10000000.0,2021-03-02,{},bulin_strategy
2021-03-03,10000000.0,10000000.0,2021-03-03,{},bulin_strategy
2021-03-04,10000000.0,10000000.0,2021-03-04,{},bulin_strategy
2021-03-05,9998002.191230468,8958.34357421875,2021-03-05,"{""hGSPC"": 2600}",bulin_strategy
2021-03-08,9944468.597480468,8958.34357421875,2021-03-08,"{""hGSPC"": 2600}",bulin_strategy
2021-03-09,10085102.191230468,8958.34357421875,2021-03-09,"{""hGSPC"": 2600}",bulin_strategy
2021-03-10,10145864.495917968,8958.34357421875,2021-03-10,"{""hGSPC"": 2600}",bulin_strategy
2021-03-11,10251242.572089843,8958.34357421875,2021-03-11,"{""hGSPC"": 2600}",bulin_strategy
2021-03-12,10261642.572089843,8958.34357421875,2021-03-12,"{""hGSPC"": 2600}",bulin_strategy
2021-03-15,10328202.191230468,8958.34357421875,2021-03-15,"{""hGSPC"": 2600}",bulin_strategy
2021-03-16,10312004.242011718,8958.34357421875,2021-03-16,"{""hGSPC"": 2600}",bulin_strategy
2021-03-17,10341670.648261718,8958.34357421875,2021-03-17,"{""hGSPC"": 2600}",bulin_strategy
2021-03-18,10189154.242011718,8958.34357421875,2021-03-18,"{""hGSPC"": 2600}",bulin_strategy
2021-03-19,10183018.597480468,8958.34357421875,2021-03-19,"{""hGSPC"": 2600}",bulin_strategy
2021-03-22,10254492.572089843,8958.34357421875,2021-03-22,"{""hGSPC"": 2600}",bulin_strategy
2021-03-23,10176310.394355468,8958.34357421875,2021-03-23,"{""hGSPC"": 2600}",bulin_strategy
2021-03-24,10120722.064277343,8958.34357421875,2021-03-24,"{""hGSPC"": 2600}",bulin_strategy
2021-03-25,10173710.394355468,8958.34357421875,2021-03-25,"{""hGSPC"": 2600}",bulin_strategy
2021-03-26,10342762.445136718,8958.34357421875,2021-03-26,"{""hGSPC"": 2600}",bulin_strategy
2021-03-29,10333792.572089843,8958.34357421875,2021-03-29,"{""hGSPC"": 2600}",bulin_strategy
2021-03-30,10301188.470527343,8958.34357421875,2021-03-30,"{""hGSPC"": 2600}",bulin_strategy
