,value,cash,date,position,strategy_name
2021-02-22,10000000.0,10000000.0,2021-02-22,{},twoma_strategy
2021-02-23,10000000.0,10000000.0,2021-02-23,{},twoma_strategy
2021-02-24,9998037.28503418,184462.4559326172,2021-02-24,"{""hGSPC"": 2500}",twoma_strategy
2021-02-25,9757812.67565918,184462.4559326172,2021-02-25,"{""hGSPC"": 2500}",twoma_strategy
2021-02-26,9712337.211791992,184462.4559326172,2021-02-26,"{""hGSPC"": 2500}",twoma_strategy
2021-03-01,9939012.626831055,184462.4559326172,2021-03-01,"{""hGSPC"": 2500}",twoma_strategy
2021-03-02,9860187.553588867,184462.4559326172,2021-03-02,"{""hGSPC"": 2500}",twoma_strategy
2021-03-03,9733762.38269043,184462.4559326172,2021-03-03,"{""hGSPC"": 2500}",twoma_strategy
2021-03-04,9605637.38269043,184462.4559326172,2021-03-04,"{""hGSPC"": 2500}",twoma_strategy
2021-03-05,9789312.309448242,184462.4559326172,2021-03-05,"{""hGSPC"": 2500}",twoma_strategy
2021-03-08,9737837.700073242,184462.4559326172,2021-03-08,"{""hGSPC"": 2500}",twoma_strategy
2021-03-09,9873062.309448242,184462.4559326172,2021-03-09,"{""hGSPC"": 2500}",twoma_strategy
2021-03-10,9931487.602416992,184462.4559326172,2021-03-10,"{""hGSPC"": 2500}",twoma_strategy
2021-03-11,10032812.67565918,184462.4559326172,2021-03-11,"{""hGSPC"": 2500}",twoma_strategy
2021-03-12,10034925.995483398,10034925.995483398,2021-03-12,{},twoma_strategy
2021-03-15,10034925.995483398,10034925.995483398,2021-03-15,{},twoma_strategy
2021-03-16,10034925.995483398,10034925.995483398,2021-03-16,{},twoma_strategy
2021-03-17,10034925.995483398,10034925.995483398,2021-03-17,{},twoma_strategy
2021-03-18,10034925.995483398,10034925.995483398,2021-03-18,{},twoma_strategy
2021-03-19,10034925.995483398,10034925.995483398,2021-03-19,{},twoma_strategy
2021-03-22,10034925.995483398,10034925.995483398,2021-03-22,{},twoma_strategy
2021-03-23,10034925.995483398,10034925.995483398,2021-03-23,{},twoma_strategy
2021-03-24,10034925.995483398,10034925.995483398,2021-03-24,{},twoma_strategy
2021-03-25,10032971.235473633,259171.1866455078,2021-03-25,"{""hGSPC"": 2500}",twoma_strategy
2021-03-26,10195521.284301758,259171.1866455078,2021-03-26,"{""hGSPC"": 2500}",twoma_strategy
2021-03-29,10186896.40637207,259171.1866455078,2021-03-29,"{""hGSPC"": 2500}",twoma_strategy
2021-03-30,10155546.30871582,259171.1866455078,2021-03-30,"{""hGSPC"": 2500}",twoma_strategy
2021-03-31,10191395.91809082,259171.1866455078,2021-03-31,"{""hGSPC"": 2500}",twoma_strategy
2021-04-01,10300806.739379883,10300806.739379883,2021-04-01,{},twoma_strategy
2021-04-05,10300806.739379883,10300806.739379883,2021-04-05,{},twoma_strategy
2021-04-06,10300806.739379883,10300806.739379883,2021-04-06,{},twoma_strategy
2021-04-07,10300806.739379883,10300806.739379883,2021-04-07,{},twoma_strategy
2021-04-08,10300806.739379883,10300806.739379883,2021-04-08,{},twoma_strategy
2021-04-09,10300806.739379883,10300806.739379883,2021-04-09,{},twoma_strategy
2021-04-12,10300806.739379883,10300806.739379883,2021-04-12,{},twoma_strategy
2021-04-13,10300806.739379883,10300806.739379883,2021-04-13,{},twoma_strategy
2021-04-14,10300806.739379883,10300806.739379883,2021-04-14,{},twoma_strategy
2021-04-15,10300806.739379883,10300806.739379883,2021-04-15,{},twoma_strategy
2021-04-16,10300806.739379883,10300806.739379883,2021-04-16,{},twoma_strategy
2021-04-19,10300806.739379883,10300806.739379883,2021-04-19,{},twoma_strategy
2021-04-20,10300806.739379883,10300806.739379883,2021-04-20,{},twoma_strategy
2021-04-21,10300806.739379883,10300806.739379883,2021-04-21,{},twoma_strategy
2021-04-22,10300806.739379883,10300806.739379883,2021-04-22,{},twoma_strategy
2021-04-23,10300806.739379883,10300806.739379883,2021-04-23,{},twoma_strategy
2021-04-26,10300806.739379883,10300806.739379883,2021-04-26,{},twoma_strategy
2021-04-27,10300806.739379883,10300806.739379883,2021-04-27,{},twoma_strategy
2021-04-28,10300806.739379883,10300806.739379883,2021-04-28,{},twoma_strategy
2021-04-29,10300806.739379883,10300806.739379883,2021-04-29,{},twoma_strategy
2021-04-30,10300806.739379883,10300806.739379883,2021-04-30,{},twoma_strategy
2021-05-03,10300806.739379883,10300806.739379883,2021-05-03,{},twoma_strategy
2021-05-04,10300806.739379883,10300806.739379883,2021-05-04,{},twoma_strategy
2021-05-05,10300806.739379883,10300806.739379883,2021-05-05,{},twoma_strategy
2021-05-06,10300806.739379883,10300806.739379883,2021-05-06,{},twoma_strategy
2021-05-07,10300806.739379883,10300806.739379883,2021-05-07,{},twoma_strategy
2021-05-10,10300806.739379883,10300806.739379883,2021-05-10,{},twoma_strategy
2021-05-11,10300806.739379883,10300806.739379883,2021-05-11,{},twoma_strategy
2021-05-12,10298775.219360352,141175.12170410156,2021-05-12,"{""hGSPC"": 2500}",twoma_strategy
2021-05-13,10422425.121704102,141175.12170410156,2021-05-13,"{""hGSPC"": 2500}",twoma_strategy
2021-05-14,10575800.365844727,141175.12170410156,2021-05-14,"{""hGSPC"": 2500}",twoma_strategy
2021-05-17,10549400.219360352,141175.12170410156,2021-05-17,"{""hGSPC"": 2500}",twoma_strategy
2021-05-18,10460750.317016602,141175.12170410156,2021-05-18,"{""hGSPC"": 2500}",twoma_strategy
2021-05-19,10430375.561157227,141175.12170410156,2021-05-19,"{""hGSPC"": 2500}",twoma_strategy
2021-05-20,10538975.414672852,141175.12170410156,2021-05-20,"{""hGSPC"": 2500}",twoma_strategy
2021-05-21,10530824.779907227,141175.12170410156,2021-05-21,"{""hGSPC"": 2500}",twoma_strategy
2021-05-24,10633799.633422852,141175.12170410156,2021-05-24,"{""hGSPC"": 2500}",twoma_strategy
2021-05-25,10603123.568969727,10603123.568969727,2021-05-25,{},twoma_strategy
2021-05-26,10603123.568969727,10603123.568969727,2021-05-26,{},twoma_strategy
2021-05-27,10603123.568969727,10603123.568969727,2021-05-27,{},twoma_strategy
2021-05-28,10603123.568969727,10603123.568969727,2021-05-28,{},twoma_strategy
2021-06-01,10603123.568969727,10603123.568969727,2021-06-01,{},twoma_strategy
2021-06-02,10603123.568969727,10603123.568969727,2021-06-02,{},twoma_strategy
2021-06-03,10603123.568969727,10603123.568969727,2021-06-03,{},twoma_strategy
2021-06-04,10603123.568969727,10603123.568969727,2021-06-04,{},twoma_strategy
2021-06-07,10603123.568969727,10603123.568969727,2021-06-07,{},twoma_strategy
2021-06-08,10603123.568969727,10603123.568969727,2021-06-08,{},twoma_strategy
2021-06-09,10603123.568969727,10603123.568969727,2021-06-09,{},twoma_strategy
2021-06-10,10603123.568969727,10603123.568969727,2021-06-10,{},twoma_strategy
