value,cash,date,strategy_name,position
10000000.0,10000000.0,2021-02-22,twoma_strategy,{}
10000000.0,10000000.0,2021-02-23,twoma_strategy,{}
9998037.28503418,184462.4559326172,2021-02-24,twoma_strategy,"{""hGSPC"": 2500}"
9757812.67565918,184462.4559326172,2021-02-25,twoma_strategy,"{""hGSPC"": 2500}"
9712337.211791992,184462.4559326172,2021-02-26,twoma_strategy,"{""hGSPC"": 2500}"
9939012.626831055,184462.4559326172,2021-03-01,twoma_strategy,"{""hGSPC"": 2500}"
9860187.553588867,184462.4559326172,2021-03-02,twoma_strategy,"{""hGSPC"": 2500}"
9733762.38269043,184462.4559326172,2021-03-03,twoma_strategy,"{""hGSPC"": 2500}"
9605637.38269043,184462.4559326172,2021-03-04,twoma_strategy,"{""hGSPC"": 2500}"
9789312.309448242,184462.4559326172,2021-03-05,twoma_strategy,"{""hGSPC"": 2500}"
9737837.700073242,184462.4559326172,2021-03-08,twoma_strategy,"{""hGSPC"": 2500}"
9873062.309448242,184462.4559326172,2021-03-09,twoma_strategy,"{""hGSPC"": 2500}"
9931487.602416992,184462.4559326172,2021-03-10,twoma_strategy,"{""hGSPC"": 2500}"
10032812.67565918,184462.4559326172,2021-03-11,twoma_strategy,"{""hGSPC"": 2500}"
10034925.995483398,10034925.995483398,2021-03-12,twoma_strategy,{}
10034925.995483398,10034925.995483398,2021-03-12,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-15,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-16,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-17,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-18,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-19,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-22,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-23,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-24,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-25,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-26,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-29,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-30,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-03-31,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-01,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-05,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-06,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-07,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-08,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-09,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-12,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-13,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-14,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-15,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-16,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-19,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-20,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-21,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-22,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-23,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-26,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-27,rsi_strategy,{}
10034925.995483398,10034925.995483398,2021-04-28,rsi_strategy,{}
