,value,cash,date,position,strategy_name
2021-02-22,10000000.0,10000000.0,2021-02-22,{},twoma_strategy
2021-02-23,9998114.871972656,572474.7352539062,2021-02-23,"{""hIXIC"": 700}",twoma_strategy
2021-02-24,10091053.543847656,572474.7352539062,2021-02-24,"{""hIXIC"": 700}",twoma_strategy
2021-02-25,9756075.516503906,572474.7352539062,2021-02-25,"{""hIXIC"": 700}",twoma_strategy
2021-02-26,9807119.461816406,572474.7352539062,2021-02-26,"{""hIXIC"": 700}",twoma_strategy
2021-03-01,10084655.789941406,572474.7352539062,2021-03-01,"{""hIXIC"": 700}",twoma_strategy
2021-03-02,9923627.762597656,572474.7352539062,2021-03-02,"{""hIXIC"": 700}",twoma_strategy
2021-03-03,9670899.735253906,572474.7352539062,2021-03-03,"{""hIXIC"": 700}",twoma_strategy
2021-03-04,9478903.543847656,572474.7352539062,2021-03-04,"{""hIXIC"": 700}",twoma_strategy
2021-03-05,9616580.008691406,572474.7352539062,2021-03-05,"{""hIXIC"": 700}",twoma_strategy
2021-03-08,9398886.844628906,572474.7352539062,2021-03-08,"{""hIXIC"": 700}",twoma_strategy
2021-03-09,9724148.954003906,572474.7352539062,2021-03-09,"{""hIXIC"": 700}",twoma_strategy
2021-03-10,9720655.789941406,572474.7352539062,2021-03-10,"{""hIXIC"": 700}",twoma_strategy
2021-03-11,9951543.680566406,572474.7352539062,2021-03-11,"{""hIXIC"": 700}",twoma_strategy
2021-03-12,9896376.981347656,572474.7352539062,2021-03-12,"{""hIXIC"": 700}",twoma_strategy
2021-03-15,9994271.707910156,572474.7352539062,2021-03-15,"{""hIXIC"": 700}",twoma_strategy
2021-03-16,9995029.874628905,9995029.874628905,2021-03-16,{},twoma_strategy
2021-03-17,9995029.874628905,9995029.874628905,2021-03-17,{},twoma_strategy
2021-03-18,9995029.874628905,9995029.874628905,2021-03-18,{},twoma_strategy
2021-03-19,9995029.874628905,9995029.874628905,2021-03-19,{},twoma_strategy
2021-03-22,9995029.874628905,9995029.874628905,2021-03-22,{},twoma_strategy
2021-03-23,9995029.874628905,9995029.874628905,2021-03-23,{},twoma_strategy
2021-03-24,9995029.874628905,9995029.874628905,2021-03-24,{},twoma_strategy
2021-03-25,9993212.999472655,908837.2182226552,2021-03-25,"{""hIXIC"": 700}",twoma_strategy
2021-03-26,10105948.546347655,908837.2182226552,2021-03-26,"{""hIXIC"": 700}",twoma_strategy
2021-03-29,10050592.491660155,908837.2182226552,2021-03-29,"{""hIXIC"": 700}",twoma_strategy
2021-03-30,10040609.972128905,908837.2182226552,2021-03-30,"{""hIXIC"": 700}",twoma_strategy
2021-03-31,10181646.300253905,908837.2182226552,2021-03-31,"{""hIXIC"": 700}",twoma_strategy
2021-04-01,10344914.464316405,908837.2182226552,2021-04-01,"{""hIXIC"": 700}",twoma_strategy
2021-04-05,10502750.108847655,908837.2182226552,2021-04-05,"{""hIXIC"": 700}",twoma_strategy
2021-04-06,10490032.043457031,10490032.043457031,2021-04-06,{},twoma_strategy
2021-04-07,10490032.043457031,10490032.043457031,2021-04-07,{},twoma_strategy
2021-04-08,10490032.043457031,10490032.043457031,2021-04-08,{},twoma_strategy
2021-04-09,10490032.043457031,10490032.043457031,2021-04-09,{},twoma_strategy
2021-04-12,10490032.043457031,10490032.043457031,2021-04-12,{},twoma_strategy
2021-04-13,10490032.043457031,10490032.043457031,2021-04-13,{},twoma_strategy
2021-04-14,10490032.043457031,10490032.043457031,2021-04-14,{},twoma_strategy
2021-04-15,10490032.043457031,10490032.043457031,2021-04-15,{},twoma_strategy
2021-04-16,10490032.043457031,10490032.043457031,2021-04-16,{},twoma_strategy
2021-04-19,10490032.043457031,10490032.043457031,2021-04-19,{},twoma_strategy
2021-04-20,10490032.043457031,10490032.043457031,2021-04-20,{},twoma_strategy
2021-04-21,10490032.043457031,10490032.043457031,2021-04-21,{},twoma_strategy
2021-04-22,10490032.043457031,10490032.043457031,2021-04-22,{},twoma_strategy
