,value,cash,date,position,strategy_name
2021-02-22,10000000.0,10000000.0,2021-02-22,{},bulin_strategy
2021-02-23,10000000.0,10000000.0,2021-02-23,{},bulin_strategy
2021-02-24,10000000.0,10000000.0,2021-02-24,{},bulin_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},bulin_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},bulin_strategy
2021-03-01,10000000.0,10000000.0,2021-03-01,{},bulin_strategy
2021-03-02,10000000.0,10000000.0,2021-03-02,{},bulin_strategy
2021-03-03,10000000.0,10000000.0,2021-03-03,{},bulin_strategy
2021-03-04,9998218.714238282,1091789.9056445314,2021-03-04,"{""hIXIC"": 700}",bulin_strategy
2021-03-05,10135895.179082032,1091789.9056445314,2021-03-05,"{""hIXIC"": 700}",bulin_strategy
2021-03-08,9918202.015019532,1091789.9056445314,2021-03-08,"{""hIXIC"": 700}",bulin_strategy
2021-03-09,10243464.124394532,1091789.9056445314,2021-03-09,"{""hIXIC"": 700}",bulin_strategy
2021-03-10,10239970.960332032,1091789.9056445314,2021-03-10,"{""hIXIC"": 700}",bulin_strategy
2021-03-11,10470858.850957032,1091789.9056445314,2021-03-11,"{""hIXIC"": 700}",bulin_strategy
2021-03-12,10415692.151738282,1091789.9056445314,2021-03-12,"{""hIXIC"": 700}",bulin_strategy
2021-03-15,10513586.878300782,1091789.9056445314,2021-03-15,"{""hIXIC"": 700}",bulin_strategy
2021-03-16,10521889.124394532,1091789.9056445314,2021-03-16,"{""hIXIC"": 700}",bulin_strategy
2021-03-17,10559430.042363282,1091789.9056445314,2021-03-17,"{""hIXIC"": 700}",bulin_strategy
2021-03-18,10273108.850957032,1091789.9056445314,2021-03-18,"{""hIXIC"": 700}",bulin_strategy
2021-03-19,10342458.069707032,1091789.9056445314,2021-03-19,"{""hIXIC"": 700}",bulin_strategy
2021-03-22,10456067.932988282,1091789.9056445314,2021-03-22,"{""hIXIC"": 700}",bulin_strategy
2021-03-23,10351180.042363282,1091789.9056445314,2021-03-23,"{""hIXIC"": 700}",bulin_strategy
2021-03-24,10165112.659550782,1091789.9056445314,2021-03-24,"{""hIXIC"": 700}",bulin_strategy
2021-03-25,10176165.686894532,1091789.9056445314,2021-03-25,"{""hIXIC"": 700}",bulin_strategy
2021-03-26,10288901.233769532,1091789.9056445314,2021-03-26,"{""hIXIC"": 700}",bulin_strategy
2021-03-29,10233545.179082032,1091789.9056445314,2021-03-29,"{""hIXIC"": 700}",bulin_strategy
