,value,cash,date,position,strategy_name
2021-02-22,10000000.0,10000000.0,2021-02-22,{},rsi_strategy
2021-02-23,10000000.0,10000000.0,2021-02-23,{},rsi_strategy
2021-02-24,10000000.0,10000000.0,2021-02-24,{},rsi_strategy
2021-02-25,10000000.0,10000000.0,2021-02-25,{},rsi_strategy
2021-02-26,10000000.0,10000000.0,2021-02-26,{},rsi_strategy
2021-03-01,9998097.563789062,485916.5091015625,2021-03-01,"{""hIXIC"": 700}",rsi_strategy
2021-03-02,9837069.536445312,485916.5091015625,2021-03-02,"{""hIXIC"": 700}",rsi_strategy
2021-03-03,9584341.509101562,485916.5091015625,2021-03-03,"{""hIXIC"": 700}",rsi_strategy
2021-03-04,9392345.317695312,485916.5091015625,2021-03-04,"{""hIXIC"": 700}",rsi_strategy
2021-03-05,9530021.782539062,485916.5091015625,2021-03-05,"{""hIXIC"": 700}",rsi_strategy
2021-03-08,9312328.618476562,485916.5091015625,2021-03-08,"{""hIXIC"": 700}",rsi_strategy
2021-03-09,9637590.727851562,485916.5091015625,2021-03-09,"{""hIXIC"": 700}",rsi_strategy
2021-03-10,9634097.563789062,485916.5091015625,2021-03-10,"{""hIXIC"": 700}",rsi_strategy
2021-03-11,9864985.454414062,485916.5091015625,2021-03-11,"{""hIXIC"": 700}",rsi_strategy
2021-03-12,9809818.755195312,485916.5091015625,2021-03-12,"{""hIXIC"": 700}",rsi_strategy
2021-03-15,9907713.481757812,485916.5091015625,2021-03-15,"{""hIXIC"": 700}",rsi_strategy
2021-03-16,9916015.727851562,485916.5091015625,2021-03-16,"{""hIXIC"": 700}",rsi_strategy
2021-03-17,9953556.645820312,485916.5091015625,2021-03-17,"{""hIXIC"": 700}",rsi_strategy
2021-03-18,9667235.454414062,485916.5091015625,2021-03-18,"{""hIXIC"": 700}",rsi_strategy
2021-03-19,9736584.673164062,485916.5091015625,2021-03-19,"{""hIXIC"": 700}",rsi_strategy
2021-03-22,9850194.536445312,485916.5091015625,2021-03-22,"{""hIXIC"": 700}",rsi_strategy
2021-03-23,9745306.645820312,485916.5091015625,2021-03-23,"{""hIXIC"": 700}",rsi_strategy
2021-03-24,9559239.263007812,485916.5091015625,2021-03-24,"{""hIXIC"": 700}",rsi_strategy
2021-03-25,9570292.290351562,485916.5091015625,2021-03-25,"{""hIXIC"": 700}",rsi_strategy
2021-03-26,9683027.837226562,485916.5091015625,2021-03-26,"{""hIXIC"": 700}",rsi_strategy
2021-03-29,9627671.782539062,485916.5091015625,2021-03-29,"{""hIXIC"": 700}",rsi_strategy
2021-03-30,9617689.263007812,485916.5091015625,2021-03-30,"{""hIXIC"": 700}",rsi_strategy
2021-03-31,9758725.591132812,485916.5091015625,2021-03-31,"{""hIXIC"": 700}",rsi_strategy
2021-04-01,9921993.755195312,485916.5091015625,2021-04-01,"{""hIXIC"": 700}",rsi_strategy
2021-04-05,10079829.399726562,485916.5091015625,2021-04-05,"{""hIXIC"": 700}",rsi_strategy
2021-04-06,10074782.427070312,485916.5091015625,2021-04-06,"{""hIXIC"": 700}",rsi_strategy
2021-04-07,10068104.399726562,485916.5091015625,2021-04-07,"{""hIXIC"": 700}",rsi_strategy
2021-04-08,10166433.208320312,485916.5091015625,2021-04-08,"{""hIXIC"": 700}",rsi_strategy
2021-04-09,10208265.703242186,10208265.703242186,2021-04-09,{},rsi_strategy
2021-04-12,10208265.703242186,10208265.703242186,2021-04-12,{},rsi_strategy
2021-04-13,10208265.703242186,10208265.703242186,2021-04-13,{},rsi_strategy
2021-04-14,10208265.703242186,10208265.703242186,2021-04-14,{},rsi_strategy
2021-04-15,10208265.703242186,10208265.703242186,2021-04-15,{},rsi_strategy
2021-04-16,10208265.703242186,10208265.703242186,2021-04-16,{},rsi_strategy
2021-04-19,10208265.703242186,10208265.703242186,2021-04-19,{},rsi_strategy
2021-04-20,10208265.703242186,10208265.703242186,2021-04-20,{},rsi_strategy
2021-04-21,10208265.703242186,10208265.703242186,2021-04-21,{},rsi_strategy
2021-04-22,10208265.703242186,10208265.703242186,2021-04-22,{},rsi_strategy
2021-04-23,10208265.703242186,10208265.703242186,2021-04-23,{},rsi_strategy
2021-04-26,10208265.703242186,10208265.703242186,2021-04-26,{},rsi_strategy
2021-04-27,10208265.703242186,10208265.703242186,2021-04-27,{},rsi_strategy
2021-04-28,10208265.703242186,10208265.703242186,2021-04-28,{},rsi_strategy
2021-04-29,10208265.703242186,10208265.703242186,2021-04-29,{},rsi_strategy
2021-04-30,10208265.703242186,10208265.703242186,2021-04-30,{},rsi_strategy
2021-05-03,10208265.703242186,10208265.703242186,2021-05-03,{},rsi_strategy
2021-05-04,10208265.703242186,10208265.703242186,2021-05-04,{},rsi_strategy
2021-05-05,10208265.703242186,10208265.703242186,2021-05-05,{},rsi_strategy
2021-05-06,10208265.703242186,10208265.703242186,2021-05-06,{},rsi_strategy
2021-05-07,10208265.703242186,10208265.703242186,2021-05-07,{},rsi_strategy
2021-05-10,10208265.703242186,10208265.703242186,2021-05-10,{},rsi_strategy
2021-05-11,10208265.703242186,10208265.703242186,2021-05-11,{},rsi_strategy
2021-05-12,10208265.703242186,10208265.703242186,2021-05-12,{},rsi_strategy
2021-05-13,10206428.204609374,1018935.0405468739,2021-05-13,"{""hIXIC"": 700}",rsi_strategy
2021-05-14,10419921.368671874,1018935.0405468739,2021-05-14,"{""hIXIC"": 700}",rsi_strategy
2021-05-17,10384269.903828124,1018935.0405468739,2021-05-17,"{""hIXIC"": 700}",rsi_strategy
2021-05-18,10331482.794453124,1018935.0405468739,2021-05-18,"{""hIXIC"": 700}",rsi_strategy
2021-05-19,10328753.204609374,1018935.0405468739,2021-05-19,"{""hIXIC"": 700}",rsi_strategy
2021-05-20,10493953.204609374,1018935.0405468739,2021-05-20,"{""hIXIC"": 700}",rsi_strategy
2021-05-21,10448628.204609374,1018935.0405468739,2021-05-21,"{""hIXIC"": 700}",rsi_strategy
2021-05-24,10581753.985859374,1018935.0405468739,2021-05-24,"{""hIXIC"": 700}",rsi_strategy
2021-05-25,10578953.985859374,1018935.0405468739,2021-05-25,"{""hIXIC"": 700}",rsi_strategy
2021-05-26,10635535.040546874,1018935.0405468739,2021-05-26,"{""hIXIC"": 700}",rsi_strategy
2021-05-27,10634331.231953124,1018935.0405468739,2021-05-27,"{""hIXIC"": 700}",rsi_strategy
2021-05-28,10643053.204609374,1018935.0405468739,2021-05-28,"{""hIXIC"": 700}",rsi_strategy
2021-06-01,10634471.368671874,1018935.0405468739,2021-06-01,"{""hIXIC"": 700}",rsi_strategy
2021-06-02,10648366.095234374,1018935.0405468739,2021-06-02,"{""hIXIC"": 700}",rsi_strategy
2021-06-03,10541467.751015624,10541467.751015624,2021-06-03,{},rsi_strategy
2021-06-04,10541467.751015624,10541467.751015624,2021-06-04,{},rsi_strategy
2021-06-07,10541467.751015624,10541467.751015624,2021-06-07,{},rsi_strategy
2021-06-08,10541467.751015624,10541467.751015624,2021-06-08,{},rsi_strategy
2021-06-09,10541467.751015624,10541467.751015624,2021-06-09,{},rsi_strategy
2021-06-10,10541467.751015624,10541467.751015624,2021-06-10,{},rsi_strategy
2021-06-11,10541467.751015624,10541467.751015624,2021-06-11,{},rsi_strategy
2021-06-14,10541467.751015624,10541467.751015624,2021-06-14,{},rsi_strategy
2021-06-15,10541467.751015624,10541467.751015624,2021-06-15,{},rsi_strategy
2021-06-16,10541467.751015624,10541467.751015624,2021-06-16,{},rsi_strategy
2021-06-17,10541467.751015624,10541467.751015624,2021-06-17,{},rsi_strategy
2021-06-18,10541467.751015624,10541467.751015624,2021-06-18,{},rsi_strategy
2021-06-21,10541467.751015624,10541467.751015624,2021-06-21,{},rsi_strategy
2021-06-22,10541467.751015624,10541467.751015624,2021-06-22,{},rsi_strategy
2021-06-23,10541467.751015624,10541467.751015624,2021-06-23,{},rsi_strategy
2021-06-24,10541467.751015624,10541467.751015624,2021-06-24,{},rsi_strategy
2021-06-25,10541467.751015624,10541467.751015624,2021-06-25,{},rsi_strategy
2021-06-28,10541467.751015624,10541467.751015624,2021-06-28,{},rsi_strategy
2021-06-29,10541467.751015624,10541467.751015624,2021-06-29,{},rsi_strategy
2021-06-30,10541467.751015624,10541467.751015624,2021-06-30,{},rsi_strategy
2021-07-01,10541467.751015624,10541467.751015624,2021-07-01,{},rsi_strategy
2021-07-02,10541467.751015624,10541467.751015624,2021-07-02,{},rsi_strategy
2021-07-06,10541467.751015624,10541467.751015624,2021-07-06,{},rsi_strategy
2021-07-07,10541467.751015624,10541467.751015624,2021-07-07,{},rsi_strategy
2021-07-08,10541467.751015624,10541467.751015624,2021-07-08,{},rsi_strategy
2021-07-09,10541467.751015624,10541467.751015624,2021-07-09,{},rsi_strategy
2021-07-12,10541467.751015624,10541467.751015624,2021-07-12,{},rsi_strategy
2021-07-13,10541467.751015624,10541467.751015624,2021-07-13,{},rsi_strategy
2021-07-14,10541467.751015624,10541467.751015624,2021-07-14,{},rsi_strategy
2021-07-15,10541467.751015624,10541467.751015624,2021-07-15,{},rsi_strategy
2021-07-16,10541467.751015624,10541467.751015624,2021-07-16,{},rsi_strategy
2021-07-19,10541467.751015624,10541467.751015624,2021-07-19,{},rsi_strategy
2021-07-20,10541467.751015624,10541467.751015624,2021-07-20,{},rsi_strategy
2021-07-21,10541467.751015624,10541467.751015624,2021-07-21,{},rsi_strategy
2021-07-22,10541467.751015624,10541467.751015624,2021-07-22,{},rsi_strategy
2021-07-23,10541467.751015624,10541467.751015624,2021-07-23,{},rsi_strategy
2021-07-26,10541467.751015624,10541467.751015624,2021-07-26,{},rsi_strategy
2021-07-27,10541467.751015624,10541467.751015624,2021-07-27,{},rsi_strategy
2021-07-28,10541467.751015624,10541467.751015624,2021-07-28,{},rsi_strategy
2021-07-29,10541467.751015624,10541467.751015624,2021-07-29,{},rsi_strategy
2021-07-30,10541467.751015624,10541467.751015624,2021-07-30,{},rsi_strategy
2021-08-02,10541467.751015624,10541467.751015624,2021-08-02,{},rsi_strategy
2021-08-03,10541467.751015624,10541467.751015624,2021-08-03,{},rsi_strategy
2021-08-04,10541467.751015624,10541467.751015624,2021-08-04,{},rsi_strategy
2021-08-05,10541467.751015624,10541467.751015624,2021-08-05,{},rsi_strategy
2021-08-06,10541467.751015624,10541467.751015624,2021-08-06,{},rsi_strategy
2021-08-09,10541467.751015624,10541467.751015624,2021-08-09,{},rsi_strategy
2021-08-10,10541467.751015624,10541467.751015624,2021-08-10,{},rsi_strategy
2021-08-11,10541467.751015624,10541467.751015624,2021-08-11,{},rsi_strategy
2021-08-12,10541467.751015624,10541467.751015624,2021-08-12,{},rsi_strategy
2021-08-13,10541467.751015624,10541467.751015624,2021-08-13,{},rsi_strategy
2021-08-16,10541467.751015624,10541467.751015624,2021-08-16,{},rsi_strategy
2021-08-17,10541467.751015624,10541467.751015624,2021-08-17,{},rsi_strategy
2021-08-18,10541467.751015624,10541467.751015624,2021-08-18,{},rsi_strategy
2021-08-19,10541467.751015624,10541467.751015624,2021-08-19,{},rsi_strategy
2021-08-20,10541467.751015624,10541467.751015624,2021-08-20,{},rsi_strategy
2021-08-23,10541467.751015624,10541467.751015624,2021-08-23,{},rsi_strategy
2021-08-24,10541467.751015624,10541467.751015624,2021-08-24,{},rsi_strategy
2021-08-25,10541467.751015624,10541467.751015624,2021-08-25,{},rsi_strategy
2021-08-26,10541467.751015624,10541467.751015624,2021-08-26,{},rsi_strategy
2021-08-27,10541467.751015624,10541467.751015624,2021-08-27,{},rsi_strategy
2021-08-30,10541467.751015624,10541467.751015624,2021-08-30,{},rsi_strategy
2021-08-31,10541467.751015624,10541467.751015624,2021-08-31,{},rsi_strategy
2021-09-01,10541467.751015624,10541467.751015624,2021-09-01,{},rsi_strategy
2021-09-02,10541467.751015624,10541467.751015624,2021-09-02,{},rsi_strategy
2021-09-03,10541467.751015624,10541467.751015624,2021-09-03,{},rsi_strategy
2021-09-07,10541467.751015624,10541467.751015624,2021-09-07,{},rsi_strategy
2021-09-08,10541467.751015624,10541467.751015624,2021-09-08,{},rsi_strategy
2021-09-09,10541467.751015624,10541467.751015624,2021-09-09,{},rsi_strategy
2021-09-10,10541467.751015624,10541467.751015624,2021-09-10,{},rsi_strategy
2021-09-13,10541467.751015624,10541467.751015624,2021-09-13,{},rsi_strategy
2021-09-14,10541467.751015624,10541467.751015624,2021-09-14,{},rsi_strategy
2021-09-15,10541467.751015624,10541467.751015624,2021-09-15,{},rsi_strategy
2021-09-16,10541467.751015624,10541467.751015624,2021-09-16,{},rsi_strategy
2021-09-17,10541467.751015624,10541467.751015624,2021-09-17,{},rsi_strategy
2021-09-20,10541467.751015624,10541467.751015624,2021-09-20,{},rsi_strategy
2021-09-21,10539403.254960937,216922.98152343652,2021-09-21,"{""hIXIC"": 700}",rsi_strategy
2021-09-22,10644717.708085937,216922.98152343652,2021-09-22,"{""hIXIC"": 700}",rsi_strategy
2021-09-23,10753491.145585937,216922.98152343652,2021-09-23,"{""hIXIC"": 700}",rsi_strategy
2021-09-24,10750313.118242187,216922.98152343652,2021-09-24,"{""hIXIC"": 700}",rsi_strategy
2021-09-27,10695901.790117187,216922.98152343652,2021-09-27,"{""hIXIC"": 700}",rsi_strategy
2021-09-28,10399598.762773437,216922.98152343652,2021-09-28,"{""hIXIC"": 700}",rsi_strategy
2021-09-29,10375631.282304687,216922.98152343652,2021-09-29,"{""hIXIC"": 700}",rsi_strategy
2021-09-30,10330929.036210937,216922.98152343652,2021-09-30,"{""hIXIC"": 700}",rsi_strategy
2021-10-01,10413613.118242187,216922.98152343652,2021-10-01,"{""hIXIC"": 700}",rsi_strategy
2021-10-04,10195759.309648437,216922.98152343652,2021-10-04,"{""hIXIC"": 700}",rsi_strategy
2021-10-05,10320604.036210937,216922.98152343652,2021-10-05,"{""hIXIC"": 700}",rsi_strategy
2021-10-06,10368260.090898437,216922.98152343652,2021-10-06,"{""hIXIC"": 700}",rsi_strategy
2021-10-07,10474736.653398437,216922.98152343652,2021-10-07,"{""hIXIC"": 700}",rsi_strategy
2021-10-08,10422601.008867187,216922.98152343652,2021-10-08,"{""hIXIC"": 700}",rsi_strategy
2021-10-11,10357263.118242187,216922.98152343652,2021-10-11,"{""hIXIC"": 700}",rsi_strategy
2021-10-12,10343066.926835937,216922.98152343652,2021-10-12,"{""hIXIC"": 700}",rsi_strategy
2021-10-13,10417070.735429687,216922.98152343652,2021-10-13,"{""hIXIC"": 700}",rsi_strategy
2021-10-14,10593323.762773437,216922.98152343652,2021-10-14,"{""hIXIC"": 700}",rsi_strategy
2021-10-15,10645060.872148437,216922.98152343652,2021-10-15,"{""hIXIC"": 700}",rsi_strategy
2021-10-18,10732189.680742187,216922.98152343652,2021-10-18,"{""hIXIC"": 700}",rsi_strategy
2021-10-19,10807285.872148437,216922.98152343652,2021-10-19,"{""hIXIC"": 700}",rsi_strategy
2021-10-20,10802098.762773437,216922.98152343652,2021-10-20,"{""hIXIC"": 700}",rsi_strategy
2021-10-21,10867913.118242187,216922.98152343652,2021-10-21,"{""hIXIC"": 700}",rsi_strategy
2021-10-22,10780063.118242187,216922.98152343652,2021-10-22,"{""hIXIC"": 700}",rsi_strategy
2021-10-25,10867092.996601563,10867092.996601563,2021-10-25,{},rsi_strategy
2021-10-26,10867092.996601563,10867092.996601563,2021-10-26,{},rsi_strategy
2021-10-27,10867092.996601563,10867092.996601563,2021-10-27,{},rsi_strategy
2021-10-28,10867092.996601563,10867092.996601563,2021-10-28,{},rsi_strategy
2021-10-29,10867092.996601563,10867092.996601563,2021-10-29,{},rsi_strategy
2021-11-01,10867092.996601563,10867092.996601563,2021-11-01,{},rsi_strategy
2021-11-02,10867092.996601563,10867092.996601563,2021-11-02,{},rsi_strategy
2021-11-03,10867092.996601563,10867092.996601563,2021-11-03,{},rsi_strategy
2021-11-04,10867092.996601563,10867092.996601563,2021-11-04,{},rsi_strategy
2021-11-05,10867092.996601563,10867092.996601563,2021-11-05,{},rsi_strategy
2021-11-08,10867092.996601563,10867092.996601563,2021-11-08,{},rsi_strategy
2021-11-09,10867092.996601563,10867092.996601563,2021-11-09,{},rsi_strategy
2021-11-10,10867092.996601563,10867092.996601563,2021-11-10,{},rsi_strategy
2021-11-11,10867092.996601563,10867092.996601563,2021-11-11,{},rsi_strategy
2021-11-12,10867092.996601563,10867092.996601563,2021-11-12,{},rsi_strategy
2021-11-15,10867092.996601563,10867092.996601563,2021-11-15,{},rsi_strategy
2021-11-16,10867092.996601563,10867092.996601563,2021-11-16,{},rsi_strategy
2021-11-17,10867092.996601563,10867092.996601563,2021-11-17,{},rsi_strategy
2021-11-18,10867092.996601563,10867092.996601563,2021-11-18,{},rsi_strategy
2021-11-19,10867092.996601563,10867092.996601563,2021-11-19,{},rsi_strategy
2021-11-22,10867092.996601563,10867092.996601563,2021-11-22,{},rsi_strategy
2021-11-23,10867092.996601563,10867092.996601563,2021-11-23,{},rsi_strategy
2021-11-24,10867092.996601563,10867092.996601563,2021-11-24,{},rsi_strategy
2021-11-26,10867092.996601563,10867092.996601563,2021-11-26,{},rsi_strategy
2021-11-29,10867092.996601563,10867092.996601563,2021-11-29,{},rsi_strategy
2021-11-30,10867092.996601563,10867092.996601563,2021-11-30,{},rsi_strategy
2021-12-01,10867092.996601563,10867092.996601563,2021-12-01,{},rsi_strategy
2021-12-02,10867092.996601563,10867092.996601563,2021-12-02,{},rsi_strategy
2021-12-03,10867092.996601563,10867092.996601563,2021-12-03,{},rsi_strategy
2021-12-06,10867092.996601563,10867092.996601563,2021-12-06,{},rsi_strategy
2021-12-07,10867092.996601563,10867092.996601563,2021-12-07,{},rsi_strategy
2021-12-08,10867092.996601563,10867092.996601563,2021-12-08,{},rsi_strategy
2021-12-09,10867092.996601563,10867092.996601563,2021-12-09,{},rsi_strategy
2021-12-10,10867092.996601563,10867092.996601563,2021-12-10,{},rsi_strategy
2021-12-13,10867092.996601563,10867092.996601563,2021-12-13,{},rsi_strategy
2021-12-14,10867092.996601563,10867092.996601563,2021-12-14,{},rsi_strategy
2021-12-15,10867092.996601563,10867092.996601563,2021-12-15,{},rsi_strategy
2021-12-16,10867092.996601563,10867092.996601563,2021-12-16,{},rsi_strategy
2021-12-17,10867092.996601563,10867092.996601563,2021-12-17,{},rsi_strategy
2021-12-20,10867092.996601563,10867092.996601563,2021-12-20,{},rsi_strategy
2021-12-21,10867092.996601563,10867092.996601563,2021-12-21,{},rsi_strategy
2021-12-22,10867092.996601563,10867092.996601563,2021-12-22,{},rsi_strategy
2021-12-23,10867092.996601563,10867092.996601563,2021-12-23,{},rsi_strategy
2021-12-27,10867092.996601563,10867092.996601563,2021-12-27,{},rsi_strategy
2021-12-28,10867092.996601563,10867092.996601563,2021-12-28,{},rsi_strategy
2021-12-29,10867092.996601563,10867092.996601563,2021-12-29,{},rsi_strategy
2021-12-30,10867092.996601563,10867092.996601563,2021-12-30,{},rsi_strategy
2021-12-31,10867092.996601563,10867092.996601563,2021-12-31,{},rsi_strategy
2022-01-03,10867092.996601563,10867092.996601563,2022-01-03,{},rsi_strategy
2022-01-04,10867092.996601563,10867092.996601563,2022-01-04,{},rsi_strategy
2022-01-05,10867092.996601563,10867092.996601563,2022-01-05,{},rsi_strategy
2022-01-06,10867092.996601563,10867092.996601563,2022-01-06,{},rsi_strategy
2022-01-07,10867092.996601563,10867092.996601563,2022-01-07,{},rsi_strategy
2022-01-10,10867092.996601563,10867092.996601563,2022-01-10,{},rsi_strategy
2022-01-11,10867092.996601563,10867092.996601563,2022-01-11,{},rsi_strategy
2022-01-12,10867092.996601563,10867092.996601563,2022-01-12,{},rsi_strategy
2022-01-13,10867092.996601563,10867092.996601563,2022-01-13,{},rsi_strategy
2022-01-14,10867092.996601563,10867092.996601563,2022-01-14,{},rsi_strategy
2022-01-18,10865062.030546876,710231.7571093754,2022-01-18,"{""hIXIC"": 700}",rsi_strategy
2022-01-19,10748413.593046876,710231.7571093754,2022-01-19,"{""hIXIC"": 700}",rsi_strategy
2022-01-20,10618045.428984376,710231.7571093754,2022-01-20,"{""hIXIC"": 700}",rsi_strategy
2022-01-21,10348475.702421876,710231.7571093754,2022-01-21,"{""hIXIC"": 700}",rsi_strategy
2022-01-24,10408822.675078126,710231.7571093754,2022-01-24,"{""hIXIC"": 700}",rsi_strategy
2022-01-25,10187734.784453126,710231.7571093754,2022-01-25,"{""hIXIC"": 700}",rsi_strategy
2022-01-26,10189715.839140626,710231.7571093754,2022-01-26,"{""hIXIC"": 700}",rsi_strategy
2022-01-27,10057177.948515626,710231.7571093754,2022-01-27,"{""hIXIC"": 700}",rsi_strategy
2022-01-28,10349630.975859376,710231.7571093754,2022-01-28,"{""hIXIC"": 700}",rsi_strategy
2022-01-31,10678147.675078126,710231.7571093754,2022-01-31,"{""hIXIC"": 700}",rsi_strategy
2022-02-01,10752431.757109376,710231.7571093754,2022-02-01,"{""hIXIC"": 700}",rsi_strategy
2022-02-02,10802516.620390626,710231.7571093754,2022-02-02,"{""hIXIC"": 700}",rsi_strategy
2022-02-03,10425405.975859376,710231.7571093754,2022-02-03,"{""hIXIC"": 700}",rsi_strategy
2022-02-04,10578838.593046876,710231.7571093754,2022-02-04,"{""hIXIC"": 700}",rsi_strategy
2022-02-07,10521200.702421876,710231.7571093754,2022-02-07,"{""hIXIC"": 700}",rsi_strategy
2022-02-08,10646346.893828126,710231.7571093754,2022-02-08,"{""hIXIC"": 700}",rsi_strategy
2022-02-09,10853490.839140626,710231.7571093754,2022-02-09,"{""hIXIC"": 700}",rsi_strategy
2022-02-10,10640179.511015626,710231.7571093754,2022-02-10,"{""hIXIC"": 700}",rsi_strategy
2022-02-11,10364037.030546876,710231.7571093754,2022-02-11,"{""hIXIC"": 700}",rsi_strategy
2022-02-14,10363875.702421876,710231.7571093754,2022-02-14,"{""hIXIC"": 700}",rsi_strategy
2022-02-15,10608063.593046876,710231.7571093754,2022-02-15,"{""hIXIC"": 700}",rsi_strategy
2022-02-16,10597094.647734376,710231.7571093754,2022-02-16,"{""hIXIC"": 700}",rsi_strategy
2022-02-17,10311935.565703126,710231.7571093754,2022-02-17,"{""hIXIC"": 700}",rsi_strategy
2022-02-18,10193880.975859376,710231.7571093754,2022-02-18,"{""hIXIC"": 700}",rsi_strategy
2022-02-22,10077295.428984376,710231.7571093754,2022-02-22,"{""hIXIC"": 700}",rsi_strategy
2022-02-23,9836474.921171876,710231.7571093754,2022-02-23,"{""hIXIC"": 700}",rsi_strategy
2022-02-24,10141744.647734376,710231.7571093754,2022-02-24,"{""hIXIC"": 700}",rsi_strategy
2022-02-25,10296465.839140626,710231.7571093754,2022-02-25,"{""hIXIC"": 700}",rsi_strategy
